name,heightCM,weightKG,bustCM,waistCM,hipsCM,hair,breasts,ethnicity,born,month,year,mateAge,first,avgDist
Julie Clarke,165,50,86,56,81,0,0,0,50742000000,2,1991,19,,0.285
Christina Leardini,173,49,86,58,86,1,1,0,-29692800000,3,1991,22,,0.765
Carrie Jean Yazel,173,54,91,61,86,0,0,0,-2736000000,4,1991,21,,0.170
Saskia Linssen,175,59,97,69,97,2,0,0,4003200000,5,1991,21,,0.443
Wendy Kaye,168,51,86,58,89,0,0,0,73897200000,6,1991,19,,0.205
Corinna Harney,160,48,86,56,86,2,0,0,67420800000,7,1991,19,,0.323
Samantha Dorman,178,61,91,64,91,1,0,0,-56217600000,8,1991,23,,0.418
Cheryl Bachman,168,50,86,56,89,2,0,0,-3772800000,9,1991,21,,0.156
Tonja Christensen,170,49,86,58,86,0,0,0,52729200000,10,1991,20,,0.181
Wendy Hamilton,178,54,89,61,91,2,0,0,-64166400000,11,1991,23,,0.263
Suzi Simpson,165,45,91,58,86,0,0,0,-35481600000,0,1992,23,,0.183
Tanya Beyer,174,56,91,64,89,2,0,0,44866800000,1,1992,20,,0.232
Tylyn John,168,54,86,58,86,3,0,0,-107974800000,2,1992,25,,0.436
Cady Cantrell,170,54,91,61,91,0,0,0,85129200000,3,1992,19,,0.206
Anna Nicole Smith,180,64,91,66,97,0,1,0,-66067200000,4,1992,24,,0.817
Angela Melini,168,52,91,66,89,2,0,0,-13798800000,5,1992,22,,0.157
Amanda Hope,173,60,89,64,94,2,0,0,-11293200000,6,1992,22,,0.224
Ashley Allen,174,56,86,61,86,0,1,0,-59932800000,7,1992,24,,0.723
Morena Corwin,174,54,86,56,86,1,0,2,-5936400000,8,1992,22,,0.926
Tiffany Sloan,168,54,91,64,91,0,0,0,107506800000,9,1992,19,,0.219
Stephanie Adams,175,52,86,61,86,1,0,1,17650800000,10,1992,22,,0.948
Barbara Moore,168,50,91,61,89,0,1,0,-43002000000,11,1992,24,,0.703
Echo Johnson,170,50,91,58,84,0,0,0,127123200000,0,1993,18,,0.268
Jennifer LeRoy,178,54,86,61,89,2,0,0,126777600000,1,1993,19,,0.322
Kimberly Donley,173,52,86,61,86,0,0,0,-127670400000,2,1993,27,,0.293
Nicole Wood,168,49,91,58,86,0,0,0,2966400000,3,1993,23,,0.124
Elke Jeinsen,174,54,86,61,86,0,0,0,-108493200000,4,1993,26,,0.266
Alesha Oreskovich,173,57,91,64,91,1,0,0,75279600000,5,1993,21,,0.341
Leisa Sheridan,170,54,97,66,86,0,0,0,-176576400000,6,1993,29,,0.472
Jennifer Lavoie,163,45,81,56,81,2,0,0,36316800000,7,1993,22,,0.364
Carrie Westcott,174,54,86,61,89,0,1,0,-1699200000,8,1993,23,,0.715
Jenny McCarthy,170,54,97,61,86,0,1,0,89452800000,9,1993,20,,0.759
Julianna Young,171,50,97,53,86,0,1,0,-292957200000,10,1993,33,,0.953
Arlene Baxter,180,59,86,66,91,0,0,0,-223920000000,11,1993,31,,0.584
Anna-Marie Goddard,175,56,91,61,89,0,1,0,1065600000,0,1994,23,,0.721
Julie Lynn Cialini,180,57,86,64,89,2,0,0,27417600000,1,1994,23,,0.340
Neriah Davis,173,54,91,58,91,0,1,0,87721200000,2,1994,21,,0.715
Becky DelosSantos,178,59,91,61,91,2,0,0,-11898000000,3,1994,24,,0.302
Shae Marks,163,48,86,58,86,0,1,0,76230000000,4,1994,21,,0.722
Elan Carter,175,56,86,61,89,1,0,1,-15699600000,5,1994,24,,0.952
Traci Adell,180,59,91,61,91,1,1,0,-27446400000,6,1994,25,,0.829
Maria Checa,157,43,81,58,84,1,0,3,18082800000,7,1994,24,,1.007
Kelly Gallagher,168,48,86,61,89,2,0,0,-66672000000,8,1994,26,,0.226
Victoria Zdrok,175,53,91,58,86,0,0,0,99993600000,9,1994,21,,0.215
Donna Perry,180,61,86,64,89,2,0,0,36748800000,10,1994,23,,0.357
Elisa Bridges,152,41,86,56,86,2,0,0,107074800000,11,1994,21,,0.492
Melissa Holliday,168,50,86,61,86,0,1,0,-5414400000,0,1995,25,,0.715
Lisa Marie Scott,157,47,86,53,84,2,0,0,128937600000,1,1995,21,,0.382
Stacy Sanches,175,59,86,61,91,2,1,0,115974000000,2,1995,21,,0.732
Danelle Folta,178,56,86,61,89,2,0,0,-22176000000,3,1995,25,,0.309
Cynthia Brown,164,51,86,58,86,2,0,0,154598400000,4,1995,20,,0.205
Rhonda Adams,170,48,86,61,84,0,0,0,60076800000,5,1995,23,,0.157
Heidi Mark,170,48,86,58,84,0,0,0,35712000000,6,1995,24,,0.183
Rachel Jean Marteen,170,56,86,61,89,2,0,0,2620800000,7,1995,25,,0.182
Donna D'Errico,165,50,86,56,86,0,1,0,-55440000000,8,1995,27,,0.754
Alicia Rickter,173,50,86,58,86,2,0,0,85906800000,9,1995,23,,0.175
Holly Witt,165,51,86,61,86,0,1,0,-33408000000,10,1995,26,,0.732
Samantha Torres,175,53,86,61,86,0,0,0,118738800000,11,1995,22,,0.204
Victoria Fuller,173,56,91,61,86,0,0,0,29750400000,0,1996,25,,0.215
Kona Carmack,163,49,86,61,86,2,0,0,213001200000,1,1996,19,,0.254
Priscilla Taylor,173,55,91,64,86,0,1,0,208940400000,2,1996,19,,0.736
Gillian Bonner,168,52,86,61,84,0,0,0,-123350400000,3,1996,30,,0.424
Shauna Sand,163,44,84,56,84,0,1,0,52642800000,4,1996,24,,0.753
Karin Taylor,175,56,86,58,86,1,0,3,60163200000,5,1996,24,,0.934
Angel Boris,163,50,86,56,86,2,0,0,144658800000,6,1996,21,,0.216
Jessica Lee,165,47,86,61,86,2,0,0,161942400000,7,1996,21,,0.176
Jennifer Allan,173,54,86,61,86,2,0,0,137746800000,8,1996,22,,0.163
Nadine Chanz,168,46,86,56,86,0,1,0,72345600000,9,1996,24,,0.719
Ulrika Ericsson,170,54,86,64,89,2,0,0,21798000000,10,1996,26,,0.236
Victoria Silvstedt,179,63,89,64,91,0,1,0,148806000000,11,1996,22,,0.771
Jami Ferrell,173,54,91,56,89,0,0,0,140943600000,0,1997,22,,0.177
Kimber West,176,57,91,61,91,1,1,3,138524400000,1,1997,22,,1.163
Jennifer Miriam,165,52,91,61,86,2,0,0,73638000000,2,1997,24,,0.156
Kelly Monaco,160,43,86,53,81,2,0,0,201682800000,3,1997,20,,0.381
Lynn Thomas,170,54,86,64,89,1,0,2,191059200000,4,1997,21,,0.915
Carrie Stevens,168,52,86,61,86,2,0,0,-21142800000,5,1997,28,,0.316
Daphnée Lynn Duplaix,171,54,86,61,91,1,0,1,209199600000,6,1997,20,,0.943
Kalin Olson,170,57,91,61,81,0,0,0,189072000000,7,1997,21,,0.203
Nikki Schieler,173,54,91,58,89,0,1,0,50569200000,8,1997,26,,0.735
Layla Roberts,177,55,91,61,91,0,1,0,151657200000,9,1997,22,,0.736
Inga Drozdova,173,56,91,61,91,0,0,0,187776000000,10,1997,21,,0.178
Karen McDougal,173,57,86,61,86,0,1,0,38563200000,11,1997,26,,0.739
Heather Kozar,173,53,91,61,89,0,1,0,200041200000,0,1998,21,,0.711
Julia Schultz,175,57,86,64,91,0,0,0,298278000000,1,1998,18,,0.325
Marliece Andrada,170,54,89,61,89,0,0,0,83314800000,2,1998,25,,0.151
Holly Joan Hart,171,57,86,58,86,1,0,1,216460800000,3,1998,21,,0.941
Deanna Brooks,164,49,91,61,89,0,0,0,136537200000,4,1998,24,,0.174
Maria Luisa Gil,173,57,86,61,86,1,0,3,251107200000,5,1998,20,,0.929
Lisa Dergan,174,54,86,61,86,0,0,0,19119600000,6,1998,27,,0.306
Angela Little,159,43,86,58,86,0,1,0,80636400000,7,1998,26,,0.782
Vanessa Gleason,165,50,86,58,81,2,0,0,304930800000,8,1998,19,,0.273
Laura Cover,165,51,86,58,86,0,0,0,231750000000,9,1998,21,,0.163
Tiffany Taylor,170,49,86,64,89,2,0,0,237970800000,10,1998,21,,0.160
Erica Dahm,173,52,86,64,86,0,1,0,250761600000,11,1998,20,First triplets to become Playmates.,0.726
Nicole Dahm,173,52,86,64,86,0,1,0,250761600000,11,1998,20,First triplets to become Playmates.,0.726
Jaclyn Dahm,173,52,86,64,86,0,1,0,250761600000,11,1998,20,First triplets to become Playmates.,0.726
Jaime Bergman,165,50,86,58,86,0,1,0,180687600000,0,1999,23,,0.709
Stacy Marie Fuson,175,54,86,61,89,0,0,0,273308400000,1,1999,20,,0.233
Alexandria Karlsen,170,49,86,58,86,3,0,0,278233200000,2,1999,20,,0.435
Natalia Sokolova,180,58,86,56,89,0,0,0,214210800000,3,1999,22,,0.345
Tishara Cousino,170,54,91,53,86,2,1,0,266828400000,4,1999,20,,0.730
Kimberly Spicer,168,53,91,61,86,2,0,0,316944000000,5,1999,19,,0.199
Jennifer Rovero,173,54,86,61,81,2,0,0,282297600000,6,1999,20,,0.250
Rebecca Scott,173,64,97,71,97,0,1,0,86425200000,7,1999,26,,0.857
Kristi Cline,173,53,86,61,84,0,0,0,326271600000,8,1999,19,,0.249
Jodi Ann Paterson,165,51,81,58,86,2,0,0,176022000000,9,1999,24,,0.295
Cara Wakelin,165,51,86,61,89,0,0,0,224236800000,10,1999,22,,0.132
Brooke Richards,171,54,86,61,89,0,1,0,214383600000,11,1999,23,,0.703
Carol Bernaola,170,50,81,58,86,2,1,3,209977200000,0,2000,23,,1.139
Darlene Bernaola,170,50,81,58,86,2,1,3,209977200000,0,2000,23,,1.139
Suzanne Stokes,163,48,89,58,84,0,1,0,300351600000,1,2000,20,,0.728
Nicole Marie Lenz,165,48,81,61,81,2,0,0,317548800000,2,2000,20,,0.343
Brande Roderick,170,53,89,61,86,0,1,0,140338800000,3,2000,25,,0.710
Brooke Berry,173,52,91,61,91,2,0,0,321264000000,4,2000,20,,0.198
Shannon Stewart,168,51,86,61,91,2,1,0,264927600000,5,2000,22,,0.701
Neferteri Shepherd,175,54,91,64,89,1,0,1,337244400000,6,2000,19,,0.966
Summer Altice,179,57,86,58,84,2,0,0,314784000000,7,2000,20,,0.342
Kerissa Fare,174,52,86,66,84,0,0,0,220867200000,8,2000,23,,0.240
Nichole Van Croft,165,52,91,61,86,0,1,0,121334400000,9,2000,26,,0.730
Buffy Tyler,165,49,91,61,86,0,1,0,261734400000,10,2000,22,,0.706
Cara Michelle,188,61,86,66,91,2,0,0,255168000000,11,2000,22,,0.560
Irina Voronina,177,54,89,61,91,0,0,0,251366400000,0,2001,23,,0.238
Lauren Michelle Hill,168,45,86,53,84,2,0,0,299314800000,1,2001,21,,0.251
Miriam Gonzalez,163,51,86,64,91,2,0,0,237193200000,2,2001,23,,0.202
Katie Lohmann,163,47,81,56,81,0,1,0,317980800000,3,2001,21,,0.781
Crista Nicole,175,57,86,64,89,0,1,0,270111600000,4,2001,22,,0.728
Heather Spytek,168,50,91,56,81,2,1,0,250761600000,5,2001,23,,0.722
Kimberley Stanfield,168,48,86,61,86,0,0,0,374918400000,6,2001,19,,0.216
Jennifer Walcott,160,48,81,61,81,0,1,0,231922800000,7,2001,24,,0.794
Dalene Kurtis,165,51,86,61,89,0,1,0,248169600000,8,2001,23,First Playmate to pose with shaved pubic area.,0.705
Stephanie Heinrich,160,50,86,64,86,0,0,0,311328000000,9,2001,21,,0.271
Lindsey Vuolo,173,54,86,61,89,2,0,0,372322800000,10,2001,20,,0.197
Shanna Moakler,173,53,86,61,86,0,0,0,165225600000,11,2001,26,,0.251
Nicole Narain,163,50,86,69,89,1,0,1,144226800000,0,2002,27,,0.995
Anka Romensky,178,57,86,58,89,0,1,0,337935600000,1,2002,21,,0.751
Tina Jordan,165,52,86,61,86,0,1,0,83228400000,2,2002,29,,0.788
Heather Carolin,163,44,86,56,76,3,0,0,398242800000,3,2002,19,,0.555
Christi Shake,170,55,86,61,86,0,1,0,335775600000,4,2002,21,,0.706
Michele Rogers,160,47,81,58,84,2,1,3,200905200000,5,2002,26,,1.180
Lauren Anderson,175,57,86,61,89,0,0,0,329122800000,6,2002,22,,0.210
Christina Santiago,165,49,86,61,84,1,0,3,371977200000,7,2002,20,,0.928
Shallan Meiers,165,49,86,61,84,0,0,0,370681200000,8,2002,20,,0.206
Teri Harrison,168,53,86,66,84,0,1,0,351158400000,9,2002,21,,0.720
Serria Tawan,173,59,86,64,86,1,0,1,273740400000,10,2002,24,,0.953
Lani Todd,170,57,91,64,89,0,0,0,360486000000,11,2002,21,,0.159
Rebecca Ramos,165,50,86,61,86,2,1,0,-74192400000,0,2003,35,,0.972
Charis Boyle,173,54,86,61,86,0,1,0,210322800000,1,2003,26,,0.737
Pennelope Jimenez,170,57,86,61,89,2,1,0,270284400000,2,2003,24,,0.708
Carmella DeCesare,173,59,86,61,69,1,1,3,394354800000,3,2003,20,,1.228
Laurie Fetter,173,52,86,61,89,0,0,0,379411200000,4,2003,21,,0.168
Tailor James,163,50,86,61,86,0,0,0,333010800000,5,2003,22,,0.181
Marketa Janska,170,52,86,61,86,0,0,0,359535600000,6,2003,22,,0.114
Colleen Marie,170,57,86,64,91,2,0,0,241599600000,7,2003,25,,0.213
Luci Victoria,178,59,86,64,89,0,1,0,381484800000,8,2003,21,,0.758
Audra Lynn,173,52,86,61,86,0,0,0,318153600000,9,2003,23,,0.164
Divini Rae,173,57,91,61,91,0,1,0,239180400000,10,2003,26,,0.738
Deisy Teles,173,56,91,64,91,1,0,3,421916400000,11,2003,20,,0.932
Sarah Teles,173,56,91,64,91,1,0,3,421916400000,11,2003,20,,0.932
Colleen Shannon,157,49,86,64,86,0,1,0,261388800000,0,2004,25,,0.781
Aliya Wolf,170,54,86,61,89,2,1,0,159177600000,1,2004,29,,0.783
Sandra Hubby,163,47,86,56,86,2,0,0,280656000000,2,2004,25,,0.259
Krista Kelly,177,58,86,64,89,2,1,0,235465200000,3,2004,26,,0.769
Nicole Whitehead,163,50,81,61,86,0,0,0,342259200000,4,2004,23,,0.302
Hiromi Oshima,163,49,86,56,86,1,0,2,315993600000,5,2004,24,,0.930
Stephanie Glasson,170,53,86,61,84,0,1,0,186652800000,6,2004,28,,0.766
Pilar Lastra,166,50,86,64,86,2,0,0,348393600000,7,2004,23,,0.158
Scarlett Keegan,165,48,86,61,86,3,0,0,453711600000,8,2004,20,,0.441
Kimberly Holland,165,46,86,58,84,0,1,0,397033200000,9,2004,22,,0.719
Cara Zavaleta,168,54,86,64,86,2,0,0,329900400000,10,2004,24,,0.163
Tiffany Fallon,168,52,86,58,89,1,1,0,136623600000,11,2004,30,,0.854
Destiny Davis,165,50,91,61,86,0,1,0,493714800000,0,2005,19,,0.727
Amber Campisi,168,58,91,71,91,2,0,0,361954800000,1,2005,23,,0.284
Jillian Grace,165,53,91,61,91,0,0,0,503913600000,2,2005,19,,0.219
Courtney Rachel Culkin,160,48,86,61,86,0,1,0,414835200000,3,2005,22,,0.737
Jamie Westenhiser,170,51,86,58,86,2,1,0,373536000000,4,2005,23,,0.704
Kara Monaco,168,50,86,61,86,0,1,0,415094400000,5,2005,22,,0.701
Qiana Chase,175,59,91,64,91,1,0,1,350812800000,6,2005,24,,0.960
Tamara Witmer,173,52,86,61,86,2,1,0,448704000000,7,2005,21,,0.714
Vanessa Hoelsher,168,54,91,64,91,0,1,0,380275200000,8,2005,23,,0.705
Amanda Paige,173,53,86,61,84,0,0,0,467794800000,9,2005,20,,0.216
Raquel Gibson,163,50,86,58,89,2,0,3,487580400000,10,2005,20,,0.889
Christine Smith,165,52,86,61,86,2,0,0,292233600000,11,2005,26,,0.237
Athena Lundberg,168,54,86,64,91,0,0,0,513676800000,0,2006,19,,0.224
Cassandra Lynn,165,50,81,61,86,0,1,0,303548400000,1,2006,26,,0.771
Monica Leigh,168,52,91,61,91,2,1,3,377596800000,2,2006,24,,1.113
Holley Ann Dorrough,173,52,86,64,86,0,0,0,524214000000,3,2006,19,,0.253
Alison Waite,168,53,86,61,86,2,1,0,374227200000,4,2006,24,,0.706
Stephanie Larimore,163,48,86,58,86,2,1,0,356688000000,5,2006,25,,0.733
Sara Jean Underwood,160,47,81,61,79,0,1,0,449136000000,6,2006,22,,0.800
Nicole Voss,165,49,81,58,84,2,0,0,401266800000,7,2006,23,,0.298
Janine Habeck,168,50,91,66,91,1,0,0,423471600000,8,2006,23,,0.325
Jordan Monroe,175,59,86,61,86,2,0,0,513849600000,9,2006,20,,0.257
Sarah Elizabeth,165,50,86,58,81,0,0,0,429260400000,10,2006,23,,0.212
Kia Drayton,175,54,86,61,86,1,1,1,418896000000,11,2006,23,,1.174
Jayde Nicole,175,53,86,61,89,1,0,0,509184000000,0,2007,20,,0.360
Heather Rene Smith,160,52,86,61,86,0,1,0,537091200000,1,2007,20,,0.744
Tyran Richard,173,52,86,61,86,0,1,0,402303600000,2,2007,24,,0.716
Giuliana Marino,168,52,84,64,89,2,0,0,516351600000,3,2007,20,,0.218
Shannon James,173,52,86,58,86,0,0,0,539510400000,4,2007,20,,0.207
Brittany Binger,171,51,86,61,89,2,0,0,543571200000,5,2007,20,,0.170
Tiffany Selby,170,55,86,61,86,0,1,0,374572800000,6,2007,25,,0.716
Tamara Sky,168,49,84,61,86,2,0,3,477734400000,7,2007,22,,0.880
Patrice Hollis,173,53,86,58,84,1,0,1,368175600000,8,2007,26,,0.964
Spencer Scott,163,53,81,69,91,0,1,0,607676400000,9,2007,18,,0.813
Lindsay Wagner,175,54,86,69,86,0,0,0,574329600000,10,2007,19,,0.337
Sasckya Porto,178,54,86,58,86,1,1,3,468057600000,11,2007,23,,1.173
Sandra Nilsson,175,56,89,66,89,2,0,0,509011200000,0,2008,21,,0.238
Michelle McLaughlin,170,52,86,61,89,0,0,0,519548400000,1,2008,21,,0.124
Ida Ljungqvist,163,49,81,53,89,2,1,1,370422000000,2,2008,26,,1.190
Regina Deutinger,175,58,94,64,94,0,1,0,401094000000,3,2008,25,,0.768
AJ Alexander,170,51,81,61,89,2,0,0,337935600000,4,2008,27,,0.359
Juliette Fretté,170,54,86,64,91,0,0,0,441187200000,5,2008,24,,0.170
Laura Croft,165,53,86,61,86,1,1,0,412761600000,6,2008,25,,0.770
Kayla Collins,157,48,86,61,86,0,0,0,544262400000,7,2008,21,,0.332
Valerie Mason,170,52,86,64,91,1,1,0,570441600000,8,2008,20,,0.768
Kelly Carrington,165,52,86,61,86,0,0,0,519980400000,9,2008,22,,0.138
Grace Kim,168,49,91,53,81,1,1,2,303980400000,10,2008,29,,1.215
Natalie Campbell,173,52,86,64,89,0,0,0,523868400000,11,2008,22,,0.177
Jennifer Campbell,173,52,86,64,89,0,0,0,523868400000,11,2008,22,,0.177
Dasha Astafieva,170,55,86,58,91,1,0,0,491986800000,0,2009,23,,0.306
Jessica Burciaga,157,50,81,61,86,2,0,3,418896000000,1,2009,25,,0.961
Jennifer Pershing,173,57,89,69,94,0,0,0,330246000000,2,2009,28,,0.405
Hope Dworaczyk,178,57,86,58,89,2,1,0,469872000000,3,2009,24,,0.753
Crystal McCahill,170,57,86,66,86,2,1,0,440582400000,4,2009,25,,0.731
Candice Cassidy,175,54,86,61,91,0,0,0,498898800000,5,2009,23,,0.209
Karissa Shannon,178,57,86,66,86,0,1,0,623314800000,6,2009,19,,0.779
Kristina Shannon,178,57,86,66,86,0,1,0,623314800000,7,2009,19,,0.779
Kimberly Phillips,173,57,86,64,89,2,1,0,537177600000,8,2009,22,,0.718
Lindsey Evans,178,57,86,61,91,0,0,0,629193600000,9,2009,19,,0.333
Kelley Thompson,168,52,86,64,86,2,1,0,565948800000,10,2009,21,,0.709
Crystal Harris,168,56,86,64,89,0,1,0,515142000000,11,2009,23,,0.707
Jaime Faith Edmondson,173,57,84,61,91,2,1,0,283852800000,0,2010,31,,0.857
Heather Rae Young,170,46,81,61,84,0,1,0,558774000000,1,2010,22,,0.752
Kyra Milan,170,54,81,61,84,2,0,0,625996800000,2,2010,20,,0.303
Amy Leigh Andrews,157,51,86,61,89,0,0,0,464425200000,3,2010,25,,0.344
Kassie Lyn Logsdon,170,57,86,64,91,2,0,0,536918400000,4,2010,23,,0.163
Katie Vernola,173,57,86,66,89,0,1,0,688028400000,5,2010,18,,0.759
Shanna McLaughlin,173,56,86,66,91,0,0,0,484556400000,6,2010,25,,0.258
Francesca Frigo,165,52,86,61,86,1,1,3,511862400000,7,2010,24,,1.151
Olivia Paige,170,54,91,61,91,0,0,0,674895600000,8,2010,19,,0.206
Claire Sinclair,173,57,91,61,91,1,0,0,675154800000,9,2010,19,,0.367
Shera Bechard,168,53,86,66,91,0,0,0,432370800000,10,2010,27,,0.300
Ashley Hobbs,168,54,86,69,81,0,0,0,620809200000,11,2010,21,,0.281
Anna Sophia Berglund,168,58,86,89,91,0,1,0,513072000000,0,2011,24,,0.976
Kylie Johnson,163,49,81,64,89,1,0,3,659952000000,1,2011,20,,0.964
Ashley Mattingly,170,50,81,61,81,0,1,0,526719600000,2,2011,24,,0.761
Jaclyn Swedberg,165,48,86,64,89,2,1,0,650617200000,3,2011,20,,0.723
Sasha Bonilova,170,58,91,69,91,0,0,0,548492400000,4,2011,23,,0.247
Mei-Ling Lam,168,49,81,61,86,2,0,2,443952000000,5,2011,27,,0.933
Jessa Lynn Hinton,173,53,86,64,86,0,1,0,450432000000,6,2011,27,,0.757
Iryna Ivanova,163,48,81,64,89,1,1,0,544690800000,7,2011,24,,0.813
Tiffany Toth,173,57,86,61,91,0,1,0,512380800000,8,2011,25,,0.728
Amanda Cerny,170,57,86,61,86,2,1,0,677919600000,9,2011,20,,0.715
Ciara Price,163,54,81,64,89,0,0,0,642322800000,10,2011,21,,0.315
Rainy Day Jordan,175,57,86,61,94,2,0,0,671094000000,11,2011,20,,0.269
Heather Knox,163,57,86,66,89,0,0,0,474796800000,0,2012,26,,0.297
Leola Bell,163,52,89,58,91,1,0,1,472377600000,1,2012,27,,0.971
Lisa Seiffert,180,57,86,61,89,0,0,0,399538800000,2,2012,29,,0.480
Raquel Pomplun,168,56,86,64,91,2,0,0,562057200000,3,2012,24,First Mexican-American Playmate of the Year.,0.172
Nikki Leigh,160,51,86,66,81,0,0,0,590137200000,4,2012,23,,0.316
Amelia Talon,170,52,86,61,91,0,1,0,631526400000,5,2012,22,,0.702
Shelby Chesnes,160,45,86,64,86,2,0,0,666518400000,6,2012,21,,0.292
Beth Williams,175,56,86,61,86,0,0,0,539510400000,7,2012,25,,0.253
Alana Campos,175,54,91,64,91,2,1,0,657792000000,8,2012,21,,0.729
Pamela Horton,170,50,81,56,89,2,0,0,578732400000,9,2012,24,,0.294
Britany Nola,175,57,86,66,91,0,0,0,671439600000,10,2012,21,,0.263
Amanda Streich,175,57,86,66,89,0,0,0,738399600000,11,2012,19,,0.304
Karina Marie,173,50,81,64,84,0,0,0,444816000000,0,2013,28,,0.433
Shawn Dillon,170,54,86,64,91,2,1,0,518511600000,1,2013,26,,0.733
Ashley Doris,165,50,81,56,86,1,0,0,625910400000,2,2013,23,,0.405
Jaslyn Ome,165,50,81,64,89,2,0,1,680079600000,3,2013,21,,0.933
Kristen Nicole,175,52,86,61,84,0,1,0,627120000000,4,2013,23,,0.726
Audrey Aleen Allen,157,48,86,61,86,0,0,0,671094000000,5,2013,22,,0.325
Alyssa Arcè,173,54,86,64,86,2,0,0,699177600000,6,2013,21,,0.196
Val Keil,163,49,81,61,86,2,0,0,662976000000,7,2013,22,,0.303
Bryiana Noelle,160,39,79,61,81,1,0,3,680079600000,8,2013,22,,1.019
Carly Lauren,175,54,86,64,89,0,1,0,646988400000,9,2013,23,,0.726
Gemma Lee Farrell,173,52,84,66,86,2,0,0,569232000000,10,2013,25,,0.282
Kennedy Summers,174,54,81,58,91,0,0,0,541756800000,11,2013,26,,0.362
Roos van Montfort,176,54,81,61,89,2,0,0,628329600000,0,2014,24,,0.339
Amanda Booth,175,54,81,61,89,0,0,0,521708400000,1,2014,27,,0.397
Britt Linn,178,59,81,58,89,2,0,0,648457200000,2,2014,23,,0.379
Shanice Jordyn,168,54,86,66,91,2,0,3,702716400000,3,2014,21,,0.882
Dani Mathers,155,45,84,56,79,0,1,0,536832000000,4,2014,27,,0.865
Jessica Ashley,175,59,81,64,91,2,0,0,629107200000,5,2014,24,,0.353
Emily Agnes,173,48,86,56,81,2,0,0,679215600000,6,2014,22,,0.247
Maggie May,180,57,86,64,89,2,0,0,563961600000,7,2014,26,,0.389
Stephanie Branton,170,48,81,64,81,0,0,0,643014000000,8,2014,24,,0.334
Roxanna June,175,57,86,64,89,2,0,0,676278000000,9,2014,23,,0.229
Gia Marie,173,52,86,64,86,3,0,0,476438400000,10,2014,29,,0.559
Elizabeth Ostrander,173,54,86,61,89,3,0,0,597484800000,11,2014,25,,0.447
Brittny Ward,178,59,81,64,89,1,0,0,643359600000,0,2015,24,,0.480
Kayslee Collins,175,54,81,64,89,0,0,0,670147200000,1,2015,23,,0.325
Chelsie Aryn,165,53,86,66,79,2,0,0,716799600000,2,2015,22,,0.269
Alexandra Tyler,175,59,81,61,89,1,0,0,768466800000,3,2015,20,,0.444
Brittany Brousseau,170,50,81,61,91,2,0,0,592642800000,4,2015,26,,0.331
Kaylia Cassandra,168,53,81,64,86,1,0,1,638179200000,5,2015,25,,0.976
Kayla Rae Reid,170,57,81,66,91,0,1,0,678697200000,6,2015,23,,0.757
Dominique Jane,173,45,81,61,86,3,0,0,579769200000,7,2015,27,,0.560
Monica Sims,173,52,81,64,89,0,0,0,708591600000,8,2015,23,,0.300
Ana Cheri,170,57,86,64,97,2,1,3,516610800000,9,2015,29,,1.183
Rachel Harris,160,45,81,61,86,0,0,0,677746800000,10,2015,24,,0.372
Eugena Washington,176,59,86,64,94,1,0,1,466066800000,11,2015,31,,1.070
Amberleigh West,168,50,81,58,81,0,0,0,683967600000,0,2016,24,,0.318
Kristy Garett,170,52,81,58,86,0,0,0,634896000000,1,2016,25,,0.304
Dree Hemingway,175,58,81,58,89,2,0,0,565603200000,2,2016,28,,0.442
Camille Rowe,170,54,81,58,89,0,0,0,646902000000,3,2016,25,,0.301
Brook Power,173,52,86,64,89,2,0,0,621759600000,4,2016,26,,0.261
Josie Canseco,175,53,81,58,86,0,0,0,847180800000,5,2016,19,,0.363
Ali Michael,175,52,84,58,86,2,0,0,642754800000,6,2016,26,,0.312
Valerie van der Graaf,180,55,81,64,91,0,0,0,697881600000,7,2016,24,,0.423
Kelly Gale,180,54,81,61,86,1,0,3,800434800000,8,2016,21,,0.993
Allie Silva,175,50,86,64,89,0,0,0,773996400000,9,2016,22,,0.220
Ashley Smith,175,48,81,58,86,0,0,0,659606400000,10,2016,25,,0.355
Eniko Mihalik,178,48,81,58,89,2,0,0,547714800000,11,2016,29,,0.511
Bridget Malcolm,178,50,84,61,89,0,0,0,690624000000,0,2017,25,,0.332
Joy Corrigan,173,55,86,61,86,0,1,0,569318400000,1,2017,29,,0.793
Elizabeth Elam,173,51,81,58,86,2,0,0,681375600000,2,2017,25,,0.325
Nina Daniele,175,55,86,61,89,2,0,0,599212800000,3,2017,28,,0.360
Lada Kravchenko,180,54,84,61,86,0,0,0,722937600000,4,2017,24,,0.359
Elsie Hewitt,178,55,81,61,91,2,0,0,826099200000,5,2017,21,,0.374
Dana Taylor,175,54,81,61,86,1,0,0,741596400000,6,2017,23,,0.420
Liza Kei,173,53,84,58,86,2,0,0,650098800000,7,2017,26,,0.286
Jessica Wall,178,56,86,61,89,2,0,0,824716800000,8,2017,21,,0.284
Milan Dixon,177,55,84,58,86,1,0,1,623574000000,9,2017,27,,1.000
Ines Rau,178,56,89,64,89,2,1,3,606211200000,10,2017,28,First openly transgender Playmate.,1.177
Allie Leggett,170,54,81,61,86,0,0,0,758361600000,11,2017,23,,0.268
Kayla Garvin,170,53,81,61,86,2,0,0,646988400000,0,2018,27,,0.362
Megan Samperi,170,54,81,58,86,0,0,0,740646000000,1,2018,24,,0.284
