"loc","loc_lat","loc_lng","count"
"Chicago-Midway Airport, IL (MDW) (   United States of America)","41.88897",-87.77153,11
"Lubbock-South Plains AAF, TX (LBB) (   United States of America)","33.58451",-101.84501,11
Uli Airstrip (   Nigeria),"5.78614","6.8656",11
Genève-Cointrin Airport (GVA) (   Switzerland),"46.22415","6.10844",11
Amsterdam-Schiphol Municipal Airport (AMS) (   Netherlands),"52.36994","4.90788",11
Delhi-Palam Airport (DEL) (   India),"28.59109","77.09119",11
"Chicago, IL (   United States of America)","41.88425",-87.63245,10
Frankfurt International Airport (FRA) (   Germany),"50.11208","8.68342",10
"Broome, WA (   Australia)",-17.95567,"122.23719",10
"Saint Louis-Lambert International Airport, MO (STL) (   United States of America)","38.74361",-90.37134,10
"Montreal-Dorval International Airport, QC (YUL) (   Canada)","45.43897",-73.73022,10
Nairobi-Wilson Airport (WIL) (   Kenya),-1.31799,"36.81322",10
Mohanbari Air Base (MOH) (   India),"28.47952","76.39577",10
Mexico City-Benito Juárez International Airport (MEX) (   Mexico),"19.268",-99.10324,10
Irkutsk Airport (IKT) (   Russia),"52.30026","104.24686",10
San Juan-Luis Muñoz Marín International Airport (SJU) (   Puerto Rico),"18.40267",-66.05649,10
Creta (   Greece),"35.34245","25.15337",10
Barcelona Airport (BCN) (   Spain),"41.23591","1.81228",10
"Denver International Airport, CO (DEN) (   United States of America)","39.85139",-104.68097,10
"Seattle/Tacoma International Airport, WA (SEA) (   United States of America)","47.5799",-122.32141,10
"Melbourne-Tullamarine Airport, VIC (MEL) (   Australia)",-37.7129,"144.8684",10
Kabul (   Afghanistan),"34.53314","69.10224",10
"Laredo International Airport, TX (LRD) (   United States of America)","27.58212",-99.4844,10
"Darwin Airport, NT (DRW) (   Australia)",-12.4609,"130.84151",9
Moskva-Domodedovo Airport (DME) (   Russia),"55.75697","37.61502",9
Da Nang Airport (DAD) (   Vietnam),"16.07142","108.22094",9
Cairo (   Egypt),"30.04993","31.2486",9
Entebbe Airport (EBB) (   Uganda),"0.04504","32.44323",9
Djibouti Airport (JIB) (   Djibouti),"11.58807","43.14492",9
München-Riem Airport (MUC) (   Germany),"48.14058","11.68107",9
Manila-Ninoy Aquino International Airport (MNL) (   Philippines),"7.73884","124.76092",9
Bombay-Santacruz Airport (BOM) (   India),"19.08052","72.85178",9
Amsterdam-Schiphol International Airport (AMS) (   Netherlands),"52.36994","4.90788",9
Istanbul-Atatürk Airport (IST) (   Turkey),"40.99181","29.13028",9
Singapore-Seletar Airport (XSP) (   Singapore),"1.39657","103.8147",9
Glasgow-Prestwick Airport (PIK) (   United Kingdom),"55.50813",-4.6129,9
Dublin Airport (DUB) (   Ireland),"53.4263",-6.23398,9
Sicily (   Italy),"38.12207","13.36112",9
Brussel-Zaventem Airport (BRU) (   Belgium),"50.86489","4.4202",9
Bangalore-Hindustan Airport (BLR) (   India),"12.96846","77.64781",9
Medellín-Enrique Olaya Herrera Airport (EOH) (   Colombia),"6.27326",-75.61058,9
Dinjan (   India),"30.52486","77.91449",9
Southend Municipal Airport (SEN) (   United Kingdom),"55.31541",-5.64102,9
"Anchorage-Elmendorf AFB, AK (EDF) (   United States of America)","61.23724",-149.84214,9
"Phoenix-Sky Harbor International Airport, AZ (PHX) (   United States of America)","33.43758",-112.01589,8
"Minneapolis-St. Paul International Airport, MN (MSP) (   United States of America)","44.95151",-93.32273,8
London-Croydon Airport (   United Kingdom),"51.50466","0.03984",8
Tacloban Airport (TAC) (   Philippines),"11.26939","124.96448",8
Berlin-Schönefeld Airport (SXF) (   Germany),"52.39696","13.53075",8
"Dallas-Love Field, TX (DAL) (   United States of America)","32.84536",-96.86478,8
"Laurinburg-Maxton AAB, NC (MXE) (   United States of America)","34.70452",-79.43025,8
Tenerife-Norte Los Rodeos Airport (TFN) (   Spain),"27.81431",-15.46562,8
San Juan-Isla Verde International Airport (SJU) (   Puerto Rico),"18.44919",-66.03748,8
Dubai Airport (DXB) (   United Arab Emirates),"25.2356","55.38086",8
London-Luton Airport (LTN) (   United Kingdom),"51.87527",-0.38244,8
Khartoum (   Sudan),"15.60867","32.53578",8
Myitkyina (   Myanmar),"25.38849","97.37494",8
Santo Domingo (   Dominican Republic),"18.47185",-69.89139,8
Milano-Linate Airport (LIN) (   Italy),"45.44701","9.27231",8
"Dayton-Wright Patterson AAF, OH (FFO) (   United States of America)","39.72454",-84.15777,8
Accra-Kotoka Airport (ACC) (   Ghana),"5.57889",-0.23261,8
Wau Airport (WUU) (   South Sudan),"7.69664","27.9863",8
Damascus International Airport (DAM) (   Syria),"31.05117",-87.05823,8
Berlin-Tegel Airport (TXL) (   Germany),"52.58913","13.28081",8
Sookerating Air Base (   India),"19.43481","73.14548",8
Nairobi-Jomo Kenyatta International Airport (NBO) (   Kenya),-1.33092,"36.92518",8
Lagos-Murtala Muhammed Airport (LOS) (   Nigeria),"6.45138","3.42218",8
Angeles City-Clark Air Base (CRK) (   Philippines),"15.16541","120.60845",8
Frankfurt (   Germany),"50.11208","8.68342",8
"Detroit-Willow Run Airport, MI (YIP) (   United States of America)","42.23635",-83.55169,8
Karachi International Airport (KHI) (   Pakistan),"24.89612","66.99931",8
Tegucigalpa-Toncontin Airport (TGU) (   Honduras),"14.08192",-87.20551,8
"São Paulo-Guarulhos International Airport, SP (GRU) (   Brazil)",-23.44388,-46.433,8
"Manaus-Eduardo Gomes International Airport, AM (MAO) (   Brazil)",-3.02331,-59.97107,7
Brussels/Evere Advanced Landing Ground B-56 (   Belgium),"50.8713742","4.4211814",7
"San Diego International Airport, CA (SAN) (   United States of America)","32.56236",-117.07543,7
"Fort Lauderdale International Airport, FL (FLL) (   United States of America)","26.1276",-80.34245,7
Kuwait International Airport (KWI) (   Kuwait),"29.37321","47.97142",7
"Pittsburgh International Airport, PA (PIT) (   United States of America)","40.49086",-80.26047,7
Athens-Ellinikon International Airport (ATH) (   Greece),"38.00719","23.75357",7
Welford RAF Station (   United Kingdom),"52.16682",-1.7837,7
Saigon-Tan Son Nhut Airport (SGN) (   Vietnam),"10.82605","106.64179",7
"Opa-locka Airport, FL (OPF) (   United States of America)","25.90456",-80.25301,7
Luanda-4 de Fevereiro Airport (LAD) (   Angola),-8.80847,"13.23707",7
Mexico City-Juarez International Airport (MEX) (   Mexico),"19.42693",-99.16159,7
Bucharest-Otopeni International Airport (OTP) (   Romania),"44.4343","26.10298",7
Pointe Noire Airport (PNR) (   Congo),-4.8332,"11.88268",7
"Whidbey Island-NAS, WA (NUW) (   United States of America)","27.69441",-97.27867,7
Chanyi (   China),"28.04736","76.35866",7
"Wichita-Colonel James Jabara Airport, KS (   United States of America)","37.74859",-97.22472,7
Gulf of Mexico (   Atlantic Ocean),"19.58012",-99.25652,7
Wien-Schwechat International Airport (VIE) (   Austria),"48.13987","16.47717",7
Wig Bay (   United Kingdom),"57.49323",-6.55878,7
"Portland International Airport, OR (PDX) (   United States of America)","45.58556",-122.59057,7
Trinidad Airport (TDD) (   Bolivia),-14.83093,-64.89863,7
Oslo-Fornebu Airport (FBU) (   Norway),"59.89484","10.62615",7
"Fayetteville-Pope AAF, NC (POB) (   United States of America)","35.06379",-78.87415,7
"Fayetteville-Pope AFB, NC (POB) (   United States of America)","35.06379",-78.87415,7
Stuttgart-Echterdingen Airport (STR) (   Germany),"48.68806","9.16928",7
Praha-Ruzyne International Airport (PRG) (   Czech Republic),"50.08245","14.31048",7
Sukhumi-Babusheri Airport (SUI) (   Georgia),"43.00709","41.00918",7
Yakutsk Airport (YKS) (   Russia),"61.97651","129.66757",7
Lagos-Murtala Muhammed International Airport (LOS) (   Nigeria),"6.57238","3.33378",7
Surabaya-Juanda Airport (SUB) (   Indonesia),-7.26309,"112.73129",7
Jakarta-Kemayoran Airport (JKT) (   Indonesia),-6.16153,"106.84567",7
Aguadilla-Borinquen Airport (BQN) (   Puerto Rico),"18.46836",-67.15319,7
Den Haag (   Netherlands),"52.08409","4.31732",7
"Cincinnati/Northern Kentucky Airport, KY (CVG) (   United States of America)","37.50867",-82.81404,7
Larnaca Airport (LCA) (   Cyprus),"34.9161","33.61974",7
"Sydney-Kingsford Smith International Airport, NSW (SYD) (   Australia)",-33.93349,"151.23596",7
Moskva-Bykovo Airport (BKA) (   Russia),"55.44728","37.24226",7
Karachi (   Pakistan),"24.89612","66.99931",7
Panama City-Tocumen International Airport (PTY) (   Panama),"9.05615",-79.43613,7
Bagram Air Base (BPM) (   Afghanistan),"34.50097","69.33579",7
Angeles City-Clark Field (CRK) (   Philippines),"15.16113","120.55872",7
Kandahar Airport (KDH) (   Afghanistan),"31.62096","65.70341",7
near Kunming (   China),"25.06452","102.69877",7
"Cleveland-Hopkins International Airport, OH (CLE) (   United States of America)","41.53451",-81.60549,7
Rostov Airport (ROV) (   Russia),"47.22691","39.71676",7
Vientiane-Wattay (VTE) (   Laos),"17.94743","102.61985",7
London-Gatwick Airport (LGW) (   United Kingdom),"51.15911",-0.16335,7
"Belém, PA (   Brazil)",-1.45643,-48.50327,7
"Guanabara Bay, RJ (   Brazil)",-22.80892,-43.20541,7
Thorney Island RAF Station (   United Kingdom),"52.62406",-0.10785,6
Sendai Airport (SDJ) (   Japan),"38.24891","140.8899",6
Baghdad-Saddam International Airport (SDA) (   Iraq),"33.34213","44.39309",6
Moscow (   Russia),"55.75697","37.61502",6
Monrovia-Sprigg Payne Airport (MLW) (   Liberia),"6.31673",-10.80213,6
"Key West International Airport, FL (EYW) (   United States of America)","24.55766",-81.76566,6
Topcliffe RAF Station (   United Kingdom),"54.17836",-1.38521,6
Bangkok-Don Muang International Airport (BKK) (   Thailand),"13.91813","100.58991",6
Mashhad Airport (MHD) (   Iran),"36.28292","59.59812",6
Toulouse-Blagnac Airport (TLS) (   France),"43.61396","1.41155",6
"Memphis International Airport, TN (MEM) (   United States of America)","35.10219",-89.84837,6
"El Paso International Airport, TX (ELP) (   United States of America)","31.80776",-106.40464,6
Popondetta (   Papua New Guinea),-8.75775,"148.24244",6
"San Diego-North Island NAS, CA (NZY) (   United States of America)","32.71044",-117.15875,6
Chittagong Airfield (CGP) (   Bangladesh),"22.34193","91.80589",6
Reykjavík-Keflavík International Airport (KEF) (   Iceland),"64.14586",-21.93955,6
"Brasilia International Airport, DF (BSB) (   Brazil)",-15.77843,-47.92866,6
off Normandy (   France),"49.44014","1.08941",6
Ankara-Esenboga Airport (ESB) (   Turkey),"40.06412","32.92084",6
Krasnoyarsk Airport (KJA) (   Russia),"56.01468","92.87089",6
Manila (   Philippines),"14.58865","120.98454",6
San José-Juan Santamaria International Airport (SJO) (   Costa Rica),"9.65268",-83.96555,6
Kiev-Borispol Airport (KBP) (   Ukraine),"47.86484","31.02088",6
Marseille-Marignane Airport (MRS) (   France),"47.10261","1.9433",6
"Orlando International Airport, FL (MCO) (   United States of America)","28.4033",-81.33302,6
Madras Airport (MAA) (   India),"12.98352","80.16962",6
Charallave-Óscar Machado Zuloaga Airport (   Venezuela),"10.26811",-66.85352,6
Berlin-R.A.F. Gatow Airport (GWW) (   Germany),"52.48884","13.1807",6
"Jacksonville NAS, FL (NIP) (   United States of America)","30.21286",-81.69185,6
"Rio de Janeiro, RJ (   Brazil)",-22.91216,-43.17501,6
"Houston-William P. Hobby Airport, TX (HOU) (   United States of America)","29.58567",-95.50154,6
Mogadishu International Airport (MGQ) (   Somalia),"2.03812","45.34157",6
Dishforth RAF Station (   United Kingdom),"54.15434",-1.41953,6
Abuja International Airport (ABV) (   Nigeria),"9.06329","7.46171",6
Johannesburg International Airport (JNB) (   South Africa),-26.02894,"28.0123",6
La Paz (   Bolivia),-16.49908,-68.13378,6
"Norfolk NAS Chambers, VA (NGU) (   United States of America)","36.84551",-76.2049,6
Palma de Mallorca Airport (PMI) (   Spain),"41.3598","2.07407",6
"Charlotte-Douglas Airport, NC (CLT) (   United States of America)","35.18001",-80.94769,6
Medan-Polonia Airport (MES) (   Indonesia),"3.56297","98.66598",6
Tokyo-Narita Airport (NRT) (   Japan),"35.68409","139.80885",6
Helsinki-Vantaa Airport (HEL) (   Finland),"60.17116","24.93266",6
"Atlantic City International Airport, NJ (ACY) (   United States of America)","39.36747",-74.41491,6
Osaka-Itami Airport (ITM) (   Japan),"35.9237","137.2446",6
Caracas-Simon Bolivar Airport (CCS) (   Venezuela),"10.13591",-64.69247,6
"West Palm Beach International Airport, FL (PBI) (   United States of America)","26.7144",-80.0532,6
Myitkyina Airport (MYT) (   Myanmar),"25.38849","97.37494",6
"Escambia Bay, FL (   United States of America)","30.42146",-87.18429,6
Pacific Ocean (   Pacific Ocean),"45.20634",-123.96838,6
"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI) (   United States of America)","39.29086",-76.59642,6
Calcutta Airport (CCU) (   India),"22.64267","88.43879",6
Düsseldorf Airport (DUS) (   Germany),"51.21564","6.77666",6
Guangzhou-Baiyun Airport (CAN) (   China),"23.14404","113.24602",6
Málaga Airport (AGP) (   Spain),"36.73348",-4.3829,6
"Corpus Christi NAS, TX (NGP) (   United States of America)","27.69441",-97.27867,5
Stockholm-Bromma Airport (BMA) (   Sweden),"59.35367","17.91669",5
