crew_occ,crew_fat,passenger_occ,passenger_fat,ground
,0,,0,
3,3,0,0,
,,,,
,,,,
,,,,
4,0,11,0,
,,,,
,,,,
5,0,64,52,
4,4,0,0,
,,,,
,,,,
,0,,0,
,,,,
4,4,20,20,
3,3,26,8,
,0,,0,
,,,,
4,4,4,4,
0,0,0,0,
,,,,
5,0,0,0,
3,2,19,3,
,,,,
,,,,
5,0,55,0,
,,,,
9,9,41,41,
,,,,
,,,,
,,,,
2,2,0,0,
1,0,0,0,
,0,,0,
8,8,0,0,
,,,,
,,,,
1,1,3,3,
4,4,0,0,
5,0,22,0,
6,0,64,0,
,,,,
,,,,
,3,,1,
4,4,0,0,
,0,,0,
4,4,33,33,
6,6,0,0,
3,3,0,0,
,0,,0,
4,4,11,11,
,,,,
,,,,
,,,,
5,0,14,0,
,0,,0,
3,3,0,0,
4,4,0,0,
2,2,0,0,
5,5,0,0,
,0,,0,
3,0,0,0,
,,,,
,,,,
5,0,33,0,
,0,,0,
2,2,2,2,
,0,,0,
3,1,0,0,
,,,,
8,0,11,0,
,3,,6,
,,,,
5,0,0,0,
,0,,0,
,,,,
4,0,28,0,
5,1,11,0,
,0,,0,
,3,,5,
4,4,5,5,
6,6,0,0,
5,5,0,0,2
,,,,
,,,,
12,12,2,2,
,,,,
,,,,
,,,,
5,1,28,12,
5,3,0,0,
3,1,0,0,
,,,,
3,3,0,0,
,,,,
,,,,
5,5,19,19,
,0,,0,
5,0,0,0,
,,,,
3,3,0,0,
,,,,
,0,,0,
,0,,0,
3,3,4,4,
2,2,0,0,
11,11,41,41,
,,,,
,,,,
,3,,0,
,,,,
6,6,51,1,
5,,10,,
,,,,
,,,,
4,4,6,6,
,0,,0,
,,,,
,,,,
,,,,
4,4,14,10,
,0,,0,
,,,,
,,,,
5,5,15,15,
,,,,
3,0,0,0,
4,4,2,2,
6,6,1,1,
,,,,
,,,,
,,,,
,,,,
5,4,1,1,
,,,,
5,5,14,14,
2,2,0,0,
,,,,
3,0,13,0,
11,0,0,0,
,0,,0,
3,0,20,0,3
5,5,9,9,
4,3,31,24,
3,3,3,3,
4,0,,0,
3,3,3,0,
7,7,37,37,
4,2,0,0,
2,0,0,0,
3,3,10,10,
3,3,16,16,
4,4,0,0,
,,,,
,0,,0,
3,0,15,0,
,,,,
,0,,0,
,,,,
8,8,0,0,
2,0,0,0,
,,,,
5,5,8,8,
,,,,
,0,,0,
9,1,52,0,1
,0,,0,
7,7,32,30,
4,3,0,0,
5,5,4,4,
7,7,6,6,
6,0,,1,
4,4,26,26,
4,4,3,3,
,,,,
,,,,
6,6,33,33,
5,5,0,0,
,,,,
6,6,8,8,
,,,,
3,0,22,0,
6,6,0,0,
5,5,1,1,
0,0,0,0,
,,,,
2,0,0,0,
8,7,33,30,
10,5,105,82,
5,5,0,0,
6,0,0,0,
,,,,
0,0,0,0,
,,,,
,,,,
4,4,15,15,
5,0,26,0,
5,5,44,44,
,,,,
5,5,0,0,
,,,,
2,2,0,0,
5,0,0,0,
2,0,0,0,
5,5,30,30,
4,0,0,0,
3,3,37,37,
,0,,0,
4,2,0,0,
,,,,
,,,,
,,,,
4,4,21,20,
,0,,0,
,,,,
,0,,0,
3,1,16,1,
,,,,
,,,,
2,2,0,0,
5,5,41,41,
,,,,
,0,,2,
,,,,
5,5,6,6,
3,0,30,1,
,,,,
3,2,7,0,
3,3,0,0,
5,0,18,1,
4,4,3,3,
4,0,18,0,
3,3,17,17,
5,2,31,5,
4,0,0,0,
,0,,0,
5,5,3,3,
,,,,
,0,,0,
5,4,5,4,
0,0,0,0,
,,,,
,0,,0,
7,7,0,0,
10,0,0,0,
,,,,
12,12,0,0,
,,,,
6,6,37,37,
,0,,0,
,,,,
6,6,0,0,
,0,,0,
,,,,
0,0,0,0,
,0,,0,
5,5,29,29,
5,5,8,8,
3,1,0,0,
3,1,0,0,
5,0,11,0,
,,,,
5,5,13,13,
3,2,22,5,
,,,,
5,5,0,0,
,,,,
4,4,18,18,
,0,,0,
,,,,
5,0,0,0,
3,0,0,0,
,0,,0,
,,,,
,0,,0,
,0,,0,
2,0,12,0,
,0,,0,
5,5,2,1,
7,0,10,0,
4,3,0,0,
,,,,
,0,,0,
6,0,28,0,2
7,7,122,122,
3,,12,,
6,0,73,0,
5,5,11,11,
3,3,27,27,
,0,,0,
,0,,0,
1,0,6,0,
3,3,19,19,
2,2,7,7,
3,0,1,0,
2,0,0,0,
3,0,0,0,
,,,,
5,4,16,1,
,0,,0,
,,,,
3,0,0,0,
3,3,4,4,
2,2,0,0,
6,6,0,0,
,,,,
,,,,
3,3,17,16,
5,5,0,0,
4,4,3,3,
6,3,0,0,
8,0,0,0,
,,,,
,,,,
10,4,0,0,
3,3,11,10,
10,2,0,0,
,,,,
,,,,
,,,,
,0,,0,
2,2,0,0,
4,4,6,6,
2,2,19,19,
,0,,0,
,,,,
4,1,0,0,
,,,,
,,,,
4,4,0,0,
,0,,0,
,,,,
,0,,0,
5,0,12,0,
0,0,0,0,
,,,,
6,6,12,12,
,,,,
,0,,0,
,,,,
4,0,30,0,
,,,,
,,,,
4,0,21,1,
5,0,25,0,
3,0,18,0,
,,,,
2,0,0,0,
,,,,
,,,,
,0,,0,
6,0,0,0,
,,,,
0,0,0,0,
2,0,0,0,1
,0,,0,
,,,,
8,8,50,50,
2,0,0,0,
8,0,34,4,
3,0,24,0,
,,,,
,,,,
,0,,0,
,,,,
2,2,0,0,
6,6,15,15,
3,3,38,22,
,,,,
,,,,
1,0,0,0,
,,,,
3,3,5,5,
,0,,0,
,,,,
,2,,,
,,,,
4,0,0,0,
6,6,0,0,
6,5,40,39,
9,9,33,33,
3,3,10,10,
4,4,0,0,
2,1,0,0,
3,3,1,1,
5,5,11,10,
,,,,
,,,,
3,3,9,9,
4,4,16,16,
8,8,11,11,
6,0,36,0,
5,0,22,2,
,,,,
3,2,0,0,
7,0,6,0,
,,,,
7,2,0,0,
,,,,
3,3,25,25,
4,0,0,0,
7,0,0,0,
8,8,0,0,
,,,,
,,,,
,0,,0,
,,,,
5,5,8,8,
,0,,0,
,,,,
4,4,0,0,
,,,,
,,,,
,0,,0,
2,2,0,0,
5,2,5,2,
,0,,0,
5,1,28,22,
9,9,7,7,
4,0,16,0,
,,,,
4,4,40,40,
5,5,22,17,
,,,,
,,,,
3,3,0,0,
,5,,1,
6,6,0,0,
6,6,0,0,
,0,,0,
,,,,
,,,,
3,0,27,0,
,0,,1,
5,5,0,0,
3,0,40,1,
,0,,0,
,0,,0,
,,,,
,0,,0,
5,1,3,0,
6,0,2,0,
6,6,29,29,
,,,,
,,,,
3,0,0,0,
,,,,
7,0,37,0,
2,0,0,0,
3,3,4,4,
4,4,0,0,
,,,,
,,,,
,,,,
9,1,0,0,
10,10,0,0,
4,3,10,10,
4,4,9,9,
,0,,0,
9,9,0,0,
,,,,
4,4,1,1,10
,,,,
2,2,0,0,
5,0,4,0,
,,,,
,,,,
2,2,10,10,
,0,,0,
13,0,0,0,
,,,,
3,,13,,
2,1,0,0,
4,0,18,0,
,0,,0,
,2,,1,
,2,,3,
,,,,
,,,,
5,5,0,0,
,,,,
2,0,0,0,
10,10,0,0,
4,4,13,12,
,1,,0,
,,,,
7,7,14,14,
6,6,20,20,
4,4,16,16,
,0,,0,
,,,,
,,,,
4,2,0,0,
,,,,
,,,,
10,10,0,0,
,,,,
5,5,20,20,
5,0,0,0,
3,0,26,0,
,,,,
,,,,
5,1,0,0,
3,3,0,0,
,,,,
4,4,31,31,1
,,,,
,,,,
,,,,
3,0,21,0,
,0,,0,
5,0,0,0,
,,,,
5,4,16,14,
,,,,
,,,,
10,10,0,0,
5,1,8,0,
,0,,0,
5,5,5,5,
3,0,0,0,
,0,,0,
,,,,
8,0,43,0,
5,5,30,30,
3,0,0,0,
,,,,
0,0,0,0,
4,0,21,6,
,,,,
6,6,12,12,
4,0,5,3,
0,0,0,0,
3,0,8,0,
,,,,
,,,,
9,2,31,31,
3,3,0,0,
,0,,0,
3,3,6,6,
,0,,0,
,,,,
,0,,0,
,,,,
2,0,0,0,
4,0,3,0,
3,3,20,13,
0,0,0,0,
,0,,0,
3,0,0,0,
3,0,1,0,
,,,,
3,3,8,2,
6,6,2,2,
3,3,0,0,
9,0,0,0,
4,4,0,0,
2,2,0,0,
6,5,0,0,
,,,,
,,,,
5,0,32,0,
9,5,0,0,2
,,,,
,0,,0,
,,,,
2,2,2,2,
2,0,0,0,
,,,,
6,6,0,0,
0,0,0,0,
,0,,0,
4,4,21,21,
4,0,0,0,
,0,,0,
,,,,
,,,,
3,3,15,15,
5,3,2,1,
3,3,0,0,
9,9,21,21,
,,,,
,,,,
3,0,7,0,
,,,,
,,,,
,,,,
5,0,0,0,
3,3,0,0,
,0,,0,
3,0,0,0,
3,3,0,0,
4,4,1,1,
4,4,0,0,
5,0,17,0,
3,0,32,0,
5,5,9,9,
,,,,
,,,,
,,,,
,,,,
,0,,0,
,,,,
5,5,22,21,
,,,,
2,0,26,3,
,,,,
4,0,0,0,
0,0,0,0,
2,0,0,0,
1,1,1,1,
,,,,
,,,,
7,7,7,7,
5,2,13,8,
3,0,17,0,
,,,,
4,0,0,0,
,,,,
,,,,
4,3,0,0,
5,2,7,0,
3,3,21,21,
3,0,0,0,
2,2,0,0,
,,,,
,,,,
2,0,0,0,
,,,,
4,1,0,0,
2,2,6,1,
,,,,
,,,,
,,,,
,0,,1,
3,2,16,10,
12,12,0,0,
2,2,0,0,
10,10,0,0,
,,,,
3,0,79,0,
2,2,0,0,
2,0,12,0,
10,1,0,0,
,,,,
,,,,
,,,,
,,,,
9,0,58,0,
,,,,
,,,,
5,5,0,0,
,,,,
,,,,
4,1,51,46,
,,,,
8,2,5,0,
,0,,0,
4,4,7,5,
2,2,2,2,
,,,,
,,,,
,0,,0,
,,,,
3,0,10,0,
,,,,
4,4,2,2,
,,,,
,0,,0,
2,2,0,0,
,,,,
21,21,21,21,
,0,,0,
0,0,0,0,
4,0,0,0,
5,0,44,0,
,,,,
6,6,7,7,
6,2,0,0,
5,1,23,9,
4,4,0,0,
3,0,8,0,
9,9,12,12,
3,0,19,0,
2,2,1,0,
3,3,10,10,
0,0,0,0,
5,2,37,0,
7,0,16,0,
10,3,46,25,
,,,,
3,0,28,0,
5,0,25,0,
2,0,2,0,
5,5,24,24,
10,0,0,0,
,,,,
,,,,
4,4,9,9,
,0,,0,
3,2,4,4,
,,,,
5,2,10,4,
0,0,0,0,
5,0,28,0,
11,4,25,24,
,0,,0,
6,6,13,13,
2,2,26,26,
,0,,0,
2,2,0,0,
,,,,
5,5,0,0,
10,10,22,16,
5,1,14,0,
5,2,8,1,
5,0,14,0,
3,3,23,23,
,,,,
,,,,
,0,,0,
,,,,
,0,,0,
3,3,5,5,
,0,,0,
5,5,9,9,
,,,,
4,4,0,0,
,0,,0,
9,9,0,0,
4,4,0,0,
4,0,4,0,
4,2,3,0,
,1,,0,
9,9,57,57,
8,2,15,2,
3,3,19,19,
,0,,0,
5,1,21,0,
,,,,
3,3,0,0,
4,0,0,0,
,0,,0,
9,1,0,0,
3,3,16,16,
4,0,15,0,
,,,,
2,2,7,7,
,,,,
,,,,
7,7,0,0,
,,,,
2,0,0,0,
4,1,4,4,
,0,,0,
6,0,0,0,
8,0,0,0,
5,5,16,16,
4,4,16,16,
9,9,0,0,
,,,,
3,3,0,0,
4,0,10,1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
6,2,0,0,
4,0,28,0,
,,,,
,,,,
7,3,0,0,
,,,,
5,0,23,0,
2,0,0,0,
,0,,0,
,,,,
,,,,
5,0,0,0,
8,5,11,11,
3,0,0,0,
4,4,7,7,
,,,,
,,,,
3,3,13,13,
5,4,20,0,
,0,,0,
,0,,0,
3,3,1,0,
7,0,0,0,
9,9,0,0,
,0,,2,
,,,,
,0,,0,
6,0,47,0,
,,,,
,,,,
,0,,0,
1,1,0,0,4
5,5,14,14,
11,0,0,0,
6,4,0,0,
3,2,0,0,
,0,,0,
3,0,10,4,
3,3,0,0,
,0,,0,
4,0,1,0,
4,4,6,6,
,,,,
3,1,18,4,
2,2,0,0,
5,0,12,0,
,,,,
,0,,0,
,,,,
,,,,
,,,,
4,4,3,3,
11,5,0,0,4
2,2,0,0,
,0,,0,
,0,,4,
5,5,0,0,
,,,,
3,3,0,0,
3,0,7,0,
,,,,
3,0,0,0,
6,6,0,0,
,,,,
4,3,10,9,
2,0,8,0,
,,,,
,,,,
3,2,40,20,
,0,,0,
6,0,4,0,
,0,,0,
,0,,0,
,0,,0,
0,0,0,0,
,,,,
,,,,
7,7,51,51,
,0,,0,
3,2,30,1,
3,3,27,27,
3,0,11,0,
,,,,
,,,,
5,5,20,20,
2,0,0,0,
2,2,3,3,
3,0,0,0,
5,3,0,0,
,,,,
8,8,8,8,
9,9,2,2,
8,0,60,0,
3,0,16,0,
,,,,
4,4,9,9,
,,,,
2,0,0,0,
9,9,0,0,
,0,,0,
,0,,0,
,,,,
,0,,0,
3,3,63,63,
5,1,0,0,
,,,,
12,0,0,0,
3,0,20,0,
,,,,
8,0,0,0,
4,0,9,0,
5,0,0,0,
4,4,13,13,
4,4,31,17,
,0,,0,
,,,,
,,,,
,,,,
3,0,0,0,
0,0,0,0,
3,3,0,0,
,,,,
4,4,5,3,
,,,,
,,,,
3,3,6,6,
8,0,0,0,
7,2,40,13,
,,,,
,,,,
,,,,
4,4,0,0,
5,5,7,7,
2,1,4,1,
,0,,0,
,,,,
8,8,0,0,
9,9,2,2,
4,0,10,7,
,,,,
,3,,0,
0,0,0,0,
,,,,
,,,,
,,,,
6,5,13,2,
,,,,
5,5,4,2,
3,1,14,3,
4,2,0,0,
,,,,
6,6,19,19,
4,1,70,27,
10,7,0,0,
5,5,12,12,
2,1,0,0,
7,0,1,1,
4,4,0,0,
,,,,
,0,,0,
,0,,0,
4,4,2,2,
5,0,5,0,
4,0,0,0,
,,,,
5,5,39,39,
4,4,10,10,
8,0,0,0,
,,,,
9,9,0,0,
4,0,0,0,
,0,,0,
3,0,0,0,
6,1,0,0,
,0,,0,
,0,,0,
,,,,
,,,,
,,,,
,0,,0,
2,2,0,0,
3,0,20,0,
,,,,
,3,,0,
5,0,0,0,
,,,,
3,0,10,0,
,,,,
2,2,1,1,
,0,,0,
5,5,1,1,
,,,,
,0,,0,
,0,,0,
2,2,0,0,
2,0,0,0,
3,3,16,16,
3,0,18,2,
,,,,
,0,,0,
4,1,25,6,
3,3,15,1,
3,1,2,0,
3,3,0,0,
0,0,0,0,
,0,,0,
5,0,0,0,
,0,,0,
3,2,0,0,
2,0,0,0,
6,6,0,0,
3,2,2,0,1
,0,,0,
,,,,
,,,,
3,1,0,0,
0,0,0,0,
,0,,0,
,,,,
,,,,
4,4,0,0,
4,4,22,18,
3,3,0,0,
2,0,0,0,
2,0,1,0,
,,,,
5,0,37,0,
3,3,28,27,
5,5,45,45,
,0,,0,
,,,,
0,0,0,0,
5,5,53,53,
6,6,64,64,
,0,25,0,
,,,,
3,1,0,0,
11,11,0,0,
5,0,13,0,
,,,,
3,0,30,14,1
7,3,38,29,
2,1,1,0,
,,,,
4,0,31,1,
,,,,
,,,,
3,1,33,21,
5,0,15,0,
4,4,0,0,
8,4,14,11,
3,0,6,0,
,,,,
,,,,
3,0,16,0,
3,3,0,0,
,0,,0,
4,3,5,0,
,,,,
,,,,
,,,,
6,3,0,0,
3,3,0,0,
0,0,0,0,
,,,,
,,,,
2,2,0,0,
,,,,
,,,,
,,,,
5,5,0,0,
5,2,7,1,
,,,,
4,4,14,14,
,,,,
,,,,
2,2,3,3,
6,1,32,4,
3,0,0,0,
3,2,0,0,
,0,,0,
,,,,
,,,,
4,3,18,8,
,0,,0,
5,0,49,2,
0,0,0,0,
,0,,0,
,,,,
,,,,
1,0,0,0,
6,6,15,15,
13,1,0,0,
,,,,
,,,,
,,,,
,,,,
,,,,
6,4,20,0,
3,0,0,0,
,,,,
6,3,74,4,
3,3,21,21,
4,3,0,0,
2,1,,1,
4,4,0,0,
,,,,
7,0,0,0,
,0,,0,
4,0,2,0,
7,3,0,0,
,0,,0,
,0,,0,
3,3,59,59,
,,,,
,,,,
,,,,
9,9,50,50,
4,4,0,0,
,,,,
3,0,14,0,
,,,,
5,4,11,10,
,0,,0,
7,0,65,0,
10,8,56,38,
8,4,0,0,
2,0,0,0,
,,,,
,,,,
10,10,64,64,
,,,,
10,10,25,24,
,,,,
3,0,14,0,
,,,,
18,0,0,0,
,,,,
9,9,0,0,
,,,,
4,4,0,0,
3,3,0,0,
6,3,0,0,
5,0,33,0,1
3,0,35,0,
,0,,0,
10,10,0,0,
7,7,0,0,
,,,,
4,4,0,0,
,0,,0,
8,0,0,0,
5,0,14,1,
,,,,
,,,,
4,1,1,0,
4,0,53,1,
4,4,4,4,
,0,,0,
,0,,0,
,,,,
,,,,
,,,,
,,,,
3,0,4,0,
,,,,
4,0,0,0,
