crew_occ,crew_fat,passenger_occ,passenger_fat,ground
,0,,0,
3,3,11,7,
1,1,2,0,
,,,,
,0,,0,
11,0,148,0,
,0,,0,
1,0,0,0,
5,5,0,0,
,,,,
,,,,
2,0,0,0,
4,0,0,0,
,0,,0,
4,0,49,0,
16,0,54,0,
2,0,0,0,
3,0,0,0,
5,5,58,58,
2,2,0,0,
2,0,0,0,
6,0,68,0,
,0,,0,
2,0,0,0,
1,1,8,8,
,0,,0,
3,2,44,15,
,,,,
2,0,0,0,
2,1,19,7,
,0,,0,
2,2,7,7,
4,2,0,0,
6,6,0,0,
,0,,0,
6,6,10,5,
,0,,0,
,,,,
0,0,0,0,
,0,,0,
2,0,1,0,
2,0,0,0,
4,4,57,57,
,,,,
,0,,0,
6,6,88,88,
,,,,
,0,,0,
7,7,77,77,
4,4,27,27,
5,0,121,0,
2,2,1,1,
5,0,52,0,
,0,,0,
2,0,1,0,
7,0,,0,
,0,,0,
,,,,
1,1,0,0,
6,6,55,55,
5,0,0,0,
0,0,0,0,
,,,,
,0,,0,
,,,,
,0,,0,
1,1,8,3,
2,2,1,1,2
3,1,21,2,
,0,,0,
8,0,58,0,
0,0,0,0,
2,1,1,1,
,,,,
0,0,0,0,
11,0,345,0,
15,15,256,249,
,,,,
2,2,8,8,
3,0,43,0,
,,,,
,0,,0,
2,2,2,2,
4,4,11,11,
2,2,2,2,
2,2,8,8,
3,3,0,0,
6,5,37,35,
,0,,0,
4,4,0,0,
7,5,0,0,
2,0,1,0,
1,1,0,0,3
0,0,0,0,
5,3,0,0,
5,5,16,16,
6,0,79,0,
6,6,0,0,
,0,,0,
2,2,0,0,
6,0,72,0,
,0,,0,
2,2,0,0,
0,0,0,0,
11,9,77,63,1
,,,,
2,0,4,0,
3,0,0,0,
3,3,10,10,
,,,,
5,4,3,3,
3,3,0,0,
9,9,34,34,
2,0,16,0,
,0,,0,
,0,,0,
4,0,0,0,
2,2,10,10,
,,,,
2,2,0,0,
2,2,3,0,
3,0,0,0,
,,,,
7,7,0,0,
2,2,14,14,
,0,,0,
,,,,
11,11,145,145,
2,0,0,0,
,0,,0,
4,0,2,0,
6,0,87,0,
2,2,0,0,
2,0,7,0,
,,,,
,,,,
4,0,47,0,
2,1,10,2,
3,0,41,0,
,0,,0,
0,0,0,0,
3,0,39,35,
,,,,
,0,,0,
,,,,
3,0,0,0,
,,,,
9,0,65,0,
3,0,18,0,
,,,,
,,,,
4,3,41,38,
,0,,0,
,,,,
2,0,17,0,
6,6,10,10,
,,,,
3,0,15,0,
,,,,
4,4,0,0,
2,0,1,0,
5,5,0,0,
6,2,38,21,
,,,,
3,3,5,5,
,1,,0,
,0,,0,
3,0,0,0,
1,0,11,0,
,0,,0,
2,2,2,2,
10,10,77,77,
,0,,0,
4,0,49,2,
,0,,0,
,,,,
3,0,0,0,
,0,,0,
,,,,
,0,,0,
6,0,110,0,
,,,,
1,1,12,12,
,0,,0,
2,2,3,3,
4,0,46,0,
2,2,0,0,
4,4,0,0,
2,2,5,5,
4,,33,,
3,2,1,1,3
,0,,0,
,0,,0,
4,4,49,40,
3,0,2,0,
,,,,
,0,,0,
,3,,0,
2,2,8,8,
3,3,10,10,
,0,,0,
,0,,0,
3,0,0,0,
,,,,
,0,,0,
2,0,11,0,
3,0,1,0,
,0,,0,
9,0,152,0,
,0,,0,
3,3,0,0,
3,0,18,0,
,0,,0,
3,3,44,44,
3,0,20,0,
2,1,4,1,
3,3,3,0,
5,0,42,0,
,,,,
8,8,50,47,
8,8,138,138,
2,2,0,0,
,0,,0,
3,0,0,0,
4,4,25,25,
5,5,5,5,
2,0,6,0,
,,,,
,,,,
3,1,0,0,
2,0,0,0,
,,,,
11,0,124,2,
,0,,0,
6,6,12,12,
3,3,0,0,
,0,,0,
,,,,
,,,,
3,0,6,0,
7,7,19,19,
2,2,0,0,
7,0,0,0,
1,1,2,2,
,0,,0,
,0,,0,
6,6,0,0,2
2,2,0,0,
,0,,0,
,1,,2,
2,2,2,2,
12,12,63,63,
,0,,0,
,0,,0,
8,8,0,0,
2,2,13,11,
3,2,5,1,
2,2,0,0,
4,0,24,0,
1,1,8,1,
7,3,0,0,
,,,,
3,2,1,1,
,0,,0,
10,10,156,156,
3,3,15,15,
3,0,0,0,
,0,,0,
,0,,0,
2,2,11,11,
3,3,0,0,
0,0,0,0,
4,4,77,77,
,3,,0,
1,0,2,0,
,,,,
4,4,15,15,
8,8,81,81,
7,0,82,0,
4,0,0,0,1
,,,,
,0,,0,
,0,,0,
,0,,0,
,,,,
4,0,0,0,
,0,,0,
,,,,
2,0,2,0,
,,,,
,0,,0,
,0,,0,
5,0,0,0,
14,14,287,287,
2,2,5,5,
5,0,24,0,
3,3,7,7,
,0,,0,
2,0,0,0,
6,0,67,0,
,,,,
,,,,
4,4,0,0,
4,0,0,0,
6,6,31,31,
1,1,2,2,
,,,,
,0,,0,
16,0,152,1,
1,1,0,0,
,,,,
2,2,2,2,
,0,,0,
,0,,0,
,0,,0,
5,5,0,0,
4,4,0,0,
3,0,1,0,
,1,,0,
2,0,14,0,
,0,,0,
2,0,0,0,
,0,,0,
2,2,2,2,
5,5,26,26,
8,8,1,1,
,0,,0,
,0,,0,
3,0,0,0,
,,,,
,0,,0,
,0,,0,
,,,,
,,,,
3,0,4,0,
,0,,0,
1,0,1,0,
,,,,
14,6,198,8,
7,0,149,1,
1,0,0,0,
3,3,0,0,
,0,,0,
2,2,0,0,
,,,,
2,0,1,0,
0,0,0,0,
,0,,0,
1,0,1,0,
,,,,
4,4,30,30,
1,0,15,4,
,,,,
6,6,7,7,
3,0,1,0,
2,2,2,2,
,0,,0,
6,0,128,0,
2,2,0,0,
2,2,2,1,
,,,,
6,6,0,0,
5,0,41,0,
0,0,0,0,
2,0,0,0,
,0,,0,
2,2,4,4,
4,0,19,0,
,,,,
4,0,40,0,
3,2,0,0,
20,2,0,0,
,,,,
2,0,2,0,
2,2,0,0,
4,4,0,0,
,0,0,0,
4,0,16,0,
,0,,0,
,0,,0,
6,6,0,0,
,0,,0,
6,6,0,0,5
6,6,3,3,
4,0,19,0,
0,0,0,0,
,0,,0,
2,0,1,0,
,,,,
6,6,44,44,
2,0,0,0,
2,2,0,0,
,,,,
,0,,0,
0,0,0,0,
0,0,0,0,
3,0,26,1,
3,3,0,0,
,0,,0,
7,0,0,0,
7,0,0,0,
3,0,36,0,
,0,,0,
5,0,54,0,
4,4,16,16,
6,0,0,0,
9,0,135,1,
,0,,0,
2,2,10,10,
3,0,0,0,
7,0,72,0,
,,,,
,0,,0,
2,0,0,0,
2,2,0,0,
3,0,28,0,
,,,,
3,0,39,0,
7,7,63,63,
3,0,16,0,
,,,,
0,0,0,0,
9,9,56,45,
,,,,
20,0,271,2,
,,,,
1,0,0,0,
5,5,0,0,
4,4,11,11,
4,4,22,21,
,0,,0,
2,0,0,0,
2,1,0,0,
,0,,0,
,,,,
,0,,,
5,0,105,0,
12,3,0,0,
5,0,47,1,
,0,,0,
,,,,
2,2,6,6,
,,,,
3,2,0,0,
,,,,
2,2,7,7,
,0,,0,
,,,,
1,1,1,1,
6,0,7,2,
4,4,13,5,
,,,,
3,3,0,0,
,,,,
6,6,4,4,
0,0,0,0,
,0,,0,
,,,,
,,,,
,0,,0,
2,0,7,0,
,0,,0,
,,,,
2,0,0,0,
3,3,4,4,
17,17,4,4,
,,,,
5,5,0,0,
2,0,5,0,
,0,,0,
2,2,3,3,
4,0,46,4,
4,4,0,0,
4,3,2,0,
2,0,0,0,
5,0,113,0,
3,0,0,0,
6,0,115,0,
2,2,12,9,
4,0,40,0,
3,3,1,1,
4,4,1,1,
,,,,
9,8,15,15,
2,2,4,2,
,0,,0,
1,0,0,0,
,,,,
,0,33,0,
,0,,0,
,,,,
,,,,
4,0,24,0,
2,2,0,0,
1,0,2,2,
,,,,
,,,,
3,3,0,0,
4,4,0,0,
,,,,
5,2,4,1,
5,5,70,70,
,0,,0,
,,,,
2,2,2,2,
3,3,15,15,
2,0,0,0,
,,,,
2,0,0,0,
3,3,0,0,
2,1,0,0,
5,5,26,26,
7,2,39,35,
2,2,0,0,
,,,,
7,0,110,0,
,,,,
,,,,
,,,,
2,2,17,17,
5,2,29,1,
7,7,31,28,
,0,,0,
2,0,0,0,
4,0,22,0,
,0,,0,
,0,,0,
3,2,19,8,
,0,,0,
2,0,4,0,
4,1,8,1,
,0,59,0,
15,0,56,0,
6,6,12,12,
4,4,22,22,
3,0,0,0,
6,6,0,0,
,0,,0,
2,2,1,1,
,0,,0,
6,6,104,104,
2,0,1,0,
0,0,0,0,
,0,,0,
6,6,57,57,
7,3,0,0,
,0,,0,
1,0,4,0,
,0,,0,
,,,,
,0,,0,
,0,,0,
2,2,5,5,
,0,,0,
,,,,
,0,,0,
2,0,0,0,
2,2,4,4,
4,4,13,13,
,0,,0,
3,0,12,1,
4,4,44,44,
6,0,0,0,
,0,,0,
4,4,29,29,
,0,,0,
6,6,0,0,
6,2,60,28,
5,5,27,26,
,0,,0,
7,7,4,4,
,,,,
,0,,0,
,0,,0,
0,0,0,0,
1,0,8,0,
3,3,12,12,
3,3,0,0,
3,0,0,0,
,,,,
0,0,0,0,
3,3,18,17,
,0,,0,
,,,,
3,0,71,0,
2,2,4,4,
6,6,44,44,
,0,,0,
,,,,
3,0,0,0,
3,0,0,0,
,0,,0,
,,,,
6,6,44,44,
,,,,
,,,,
,0,,0,
6,0,70,0,
6,0,74,16,
11,0,190,0,
0,0,0,0,
9,0,59,7,
,0,,0,
5,4,74,70,4
,0,,0,
2,2,1,1,
,0,,0,
,,,,
8,0,172,0,
,,,,
2,2,16,16,
3,0,15,0,
0,0,0,0,
2,0,8,0,
,0,,0,
,,,,
7,7,0,0,
,0,,0,
5,5,1,0,
9,0,98,0,
3,0,6,0,
,0,,0,
2,2,0,0,
,0,,0,
7,7,2,2,
,0,,0,
,,,,
,1,,0,
3,2,29,1,
7,7,0,0,
,0,,0,
,0,,0,
7,4,160,95,
4,0,0,0,
2,0,0,0,
,,,,
,,,,
,0,,0,
0,0,0,0,
2,0,13,0,
,0,,0,
,0,70,0,
6,0,120,0,
9,9,0,0,
3,0,0,0,
,,,,
10,0,0,0,
2,2,0,0,
,0,,0,
,,,,
5,0,2,0,
5,0,99,0,
2,2,11,11,
,,,,
3,0,0,0,
,,,,
0,0,0,0,
3,3,2,0,
2,0,22,1,
,0,,0,
6,6,3,3,
2,2,2,2,
2,0,14,0,
4,4,20,20,
,0,,0,
,0,,0,
0,0,0,0,
4,2,45,21,
13,0,111,0,
,0,,0,
7,7,77,77,6
6,6,47,47,
5,0,0,0,
,,,,
,0,,0,
2,0,0,0,
2,0,5,0,
,,,,
6,6,15,15,
,0,,0,
,,,,
4,4,0,0,
,0,,0,
2,0,5,0,
,0,,0,
4,4,0,0,
3,3,0,0,
2,0,7,0,
3,0,36,0,
0,0,0,0,
4,4,23,23,
0,0,0,0,
9,9,128,128,
8,8,104,104,
,,,,
2,0,10,1,
,,,,
4,4,0,0,
,,,,
4,0,2,0,
13,1,0,0,
0,0,0,0,
2,2,13,13,
,,,,
,,,,
4,4,40,40,
,0,,0,
,,,,
5,5,0,0,
,0,,0,
,0,,0,
4,4,10,10,
2,0,0,0,
3,0,1,0,
,0,,0,
0,0,0,0,
,0,,0,
7,0,0,0,
3,0,19,0,
6,0,112,2,
2,0,8,0,
3,0,1,0,
4,4,23,23,
0,0,0,0,
2,0,6,0,
7,0,9,0,
4,4,1,1,
,0,,0,
2,0,2,0,
2,0,3,0,
,,,,
,0,,0,
1,0,2,0,
8,8,44,44,
,,,,
7,7,0,0,
5,5,0,0,
2,0,1,0,
0,0,0,0,
3,0,3,0,
,,,,
,0,,0,
3,3,2,2,
,0,,0,
10,2,101,15,
,,,,
2,0,0,0,
,,,,
0,0,0,0,
0,0,0,0,
,0,,0,
,0,,0,
9,9,0,0,
,,,,
18,0,242,0,
,0,,0,
4,4,49,49,
0,0,0,0,
3,0,0,0,
7,5,69,52,
3,0,9,0,
0,0,0,0,
8,1,3,1,
5,1,25,0,
7,7,0,0,
15,0,247,0,
4,0,31,0,
7,1,0,0,
,0,,0,
,0,,0,
1,1,5,5,
,,,,
1,1,0,0,
2,0,0,0,
,0,,0,
,0,,0,
0,0,0,0,
7,7,138,138,8
2,0,0,0,
,,,,
0,0,0,0,
4,4,0,0,
,0,,0,
2,0,0,0,
0,0,0,0,
,0,,0,
0,0,0,0,
8,8,124,124,
,0,,0,
,0,,0,
5,0,4,0,
5,5,0,0,
7,0,32,0,
2,0,1,0,
7,0,43,0,
3,3,5,5,
2,2,1,1,
,0,,0,
6,6,77,77,
,,,,
10,9,6,6,
0,0,0,0,
8,0,101,0,
10,0,172,0,
2,0,2,0,
,0,,0,
,0,,1,
8,8,82,82,
,0,,0,
11,0,66,7,
7,7,0,0,
3,3,3,3,
3,3,5,5,
2,2,8,8,
2,0,10,0,
,0,,0,
,,,,
5,3,74,74,
,0,,0,
3,0,17,0,
,2,,3,
1,0,0,0,
2,2,0,0,
,,,,
15,0,270,1,
,0,,0,
,,,,
,0,,0,
,0,,0,
,0,,0,
,0,,0,
5,0,133,0,
,0,,0,
,0,,0,
,0,,0,
,0,,0,
11,0,0,0,
11,0,113,0,
12,12,0,0,
3,0,1,0,
3,3,0,0,
10,10,101,101,
,,,,
1,0,0,0,
11,0,273,0,
6,6,9,9,
2,2,0,0,
,0,,0,
,,,,
3,3,41,41,
3,0,38,0,
,,,,
1,1,2,2,
,,,,
7,7,27,20,
15,0,58,0,
3,0,27,0,
4,4,0,0,
3,0,1,0,
,,,,
,,,,
1,0,3,0,
8,0,49,0,
,,,,
2,0,0,0,
3,0,42,0,
,,,,
2,2,0,0,
1,0,0,0,
5,5,0,0,
2,2,20,20,
3,0,30,1,
,,,,
4,4,2,2,
,0,,0,
,0,,1,
16,16,0,0,
,0,,0,
6,6,0,0,1
,0,,0,
,0,,0,
,,,,
,,,,
,0,,0,
,0,,0,
,,,,
,0,,0,
2,2,0,0,
4,4,0,0,
2,2,2,2,
,0,,0,
2,0,0,0,
,,,,
,,,,
,0,,0,
2,2,3,3,
4,4,42,42,
2,0,3,0,
2,2,2,2,
1,1,2,1,
3,3,3,3,
0,0,0,0,
2,0,2,0,
,,,,
5,5,0,0,
,0,,1,
2,2,0,0,
,0,,0,
4,4,0,0,1
,0,,0,
,,,,
,0,,1,
,0,,0,
6,0,104,0,
7,0,60,47,
,0,,0,
,0,,0,
7,1,0,0,
2,0,6,0,
,0,,0,
2,2,0,0,
5,0,0,0,
,0,,0,
,0,,0,
6,0,107,0,
,0,,0,
1,1,1,1,
,0,,0,
3,3,0,0,
6,0,123,0,
,0,,0,
6,0,105,0,
,0,,0,
,,,,
2,0,0,0,
,0,,0,
2,2,,4,
6,6,24,24,
,0,,0,
1,0,0,0,
,,,,
2,0,1,0,
5,5,0,0,
2,0,2,0,
,,,,
6,6,31,27,
8,8,0,0,
11,0,58,25,
14,11,0,0,
,0,,0,
2,2,0,0,
2,2,1,1,
3,3,49,49,
2,0,2,0,
,0,,0,
2,2,5,5,
0,0,0,0,
3,3,24,24,
2,2,17,17,
6,1,94,7,
2,0,10,0,
,0,,0,
,,,,
10,0,17,0,
,0,,0,
6,6,9,8,
0,0,0,0,
4,2,57,1,
3,0,0,0,
5,0,48,0,
,0,,0,
3,3,6,5,9
2,0,0,0,
,0,,0,
,0,,0,
,0,,0,
,3,,2,
,0,,0,
,0,,0,
,0,,1,
,0,,0,
5,0,16,0,
,,,,
,,,,
,,,,
,0,,0,
4,0,42,0,
2,2,1,1,
2,2,0,0,
0,0,0,0,
10,0,162,0,
5,0,10,0,
,,,,
,,,,
16,0,227,0,
7,7,83,83,
,0,,0,
6,6,0,0,
4,0,18,0,
6,0,6,0,
,0,,0,
17,17,80,80,
4,4,17,17,
,,,,1
,0,,0,
,0,,0,
8,0,61,0,
,0,,0,
3,3,0,0,
,0,,0,
,0,,0,
7,0,135,0,
3,0,24,0,
,0,,0,
,,,,
4,1,14,0,
8,8,0,0,
,,,,
5,5,1,1,
1,1,11,11,
0,0,0,0,
2,2,1,0,
,0,,0,
5,5,0,0,
2,0,3,0,
14,14,0,0,
2,0,0,0,
,0,,0,
,,,,
3,0,15,0,
8,,39,,
7,0,82,0,
,,,,
2,0,0,0,
,0,,0,
,0,,0,
3,1,0,0,
,0,,0,
,0,,0,
,,,,
2,0,0,0,
,0,,0,
,0,,0,
5,0,36,0,
2,2,0,0,
2,0,1,0,
1,1,6,6,
,,,,
3,3,7,7,
5,5,107,107,
,0,,0,
,,,,
2,0,0,0,
19,19,173,162,
8,8,111,111,
2,0,0,0,
,0,,0,
,0,,0,
7,0,0,0,
,0,,0,
,,,,
0,0,0,0,
3,0,3,0,
,0,,0,
4,0,26,0,
,0,,0,
4,4,0,0,
,,,,
2,2,24,9,
,,,,4
1,1,9,9,
,,,,
0,0,0,0,
4,1,0,0,
2,0,0,0,
4,4,3,3,
23,23,246,246,
3,3,11,6,
7,0,152,0,
4,0,0,0,
3,3,20,20,
4,1,49,3,
2,0,2,0,
3,0,0,0,
4,0,6,0,
2,0,9,0,
4,0,26,0,
7,0,63,0,
,0,,0,
,0,,0,
,,,,
3,0,27,1,
3,0,2,0,
2,2,13,5,
0,0,0,0,
2,2,0,0,
2,0,5,0,
2,2,7,4,
,,,,
2,1,0,0,
0,0,0,0,
2,0,4,0,
7,0,105,0,
9,1,84,50,
2,2,8,8,
3,3,16,16,
5,5,2,2,
,0,,0,
,0,,0,
9,9,0,0,
,,,,
8,8,0,0,
5,0,1,0,
0,0,0,0,
3,0,4,0,
7,7,0,0,
1,1,9,9,
6,0,136,0,
,0,,0,
3,0,13,0,
,,,,
,0,,0,
3,1,0,0,
3,0,0,0,
4,4,126,126,
,3,,5,
0,0,0,0,23
4,4,12,11,1
14,0,233,0,
3,0,2,0,
15,0,246,0,
,0,,0,
5,0,5,0,
6,6,74,74,
,,,,
3,0,0,0,
1,0,5,0,
5,4,44,40,
,,,,
3,3,0,0,
,,,,
1,1,11,1,
0,0,0,0,
5,5,37,37,
5,0,18,0,
19,0,374,1,
7,7,111,111,
6,0,61,0,
2,0,5,4,
14,0,163,0,
0,0,0,0,
3,3,8,8,
,,,,
5,0,81,0,1
4,0,13,0,
,,,,
,0,,0,
9,0,25,0,
4,4,81,81,
5,5,45,45,
2,2,1,1,
3,3,0,0,22
,0,,0,
,,,,
2,0,16,1,
2,0,0,0,
2,2,11,11,
2,0,0,0,
,0,,0,
3,3,0,0,
2,2,4,4,
3,3,2,2,
3,0,21,0,
,,,,
,0,,0,
,0,,0,
2,0,4,0,
2,0,15,1,
2,2,0,0,
,,,,
1,1,0,0,
2,1,28,0,
,,,,
5,5,0,0,
2,2,10,10,
,0,,0,
,0,,0,
5,0,51,0,
,0,,0,
6,0,12,0,
4,3,2,1,
2,0,2,0,
7,7,11,11,
3,0,0,0,
2,1,1,1,
2,0,8,0,
3,0,0,0,
6,0,123,0,
7,0,51,0,
,,,,
,,,,
3,3,1,1,
1,0,0,0,
4,4,0,0,
2,2,5,5,
2,0,0,0,
2,2,1,1,
,,,,
,0,,0,
,0,,0,
,0,,0,
3,0,5,0,
2,0,3,0,
2,2,1,1,
14,0,162,0,
,0,,0,
,,,,
2,2,0,0,
3,3,1,1,
,0,,0,
3,0,5,0,
21,0,293,0,
3,3,20,20,
7,0,98,0,
2,2,2,2,
,0,,0,
,0,,0,
,0,,0,
,0,,0,
2,2,16,16,
2,2,1,1,
,0,,0,
1,1,0,0,
,,,,
0,0,0,0,
1,1,8,8,
,0,,0,
9,9,15,15,
5,0,82,2,
9,0,138,0,
3,0,1,0,
6,0,58,0,
,0,,0,
10,0,254,0,
6,6,1,1,
2,2,12,9,
7,0,0,0,
,0,,0,
,,,,
2,2,2,2,
9,0,114,0,
,0,,0,
,0,,0,
2,1,2,1,
,1,,0,
1,0,7,0,
1,1,6,6,
11,0,304,0,
,0,,0,
7,0,2,0,
11,0,195,0,
,0,,0,
,,,,
,,,,
2,0,3,0,
,,,,
,0,,0,
6,0,4,0,
1,1,3,3,
,0,,0,
4,4,35,35,
,,,,
13,0,0,0,
8,8,1,1,
9,0,118,0,
,0,,0,
2,0,0,0,
11,0,125,0,
,,,,
2,0,0,0,
,0,,0,
,0,279,0,
9,5,170,169,4
,0,,0,
3,0,11,1,
7,0,109,2,
2,1,0,0,
2,2,1,1,
7,7,4,4,
2,1,1,1,
2,2,13,13,
7,7,0,0,
,,,,
3,3,18,18,
,0,,0,
11,11,22,22,
2,2,0,0,
,0,,0,
,,,,
6,0,3,0,
,,,,
,,,,
3,0,28,0,
1,0,0,0,
,0,,3,
4,4,45,45,
,,,,
,,,,
6,6,35,32,
1,0,12,0,
5,0,70,0,
2,0,1,0,
,,,,
2,2,9,7,
,,,,
,0,,0,
,0,,0,
3,0,2,0,
0,0,0,0,
9,0,123,0,
,,,,
0,0,0,0,
,0,,0,
4,4,0,0,
2,2,11,11,
,0,,0,
0,0,0,0,
2,2,0,0,
3,0,3,0,
14,0,117,0,
,,,,
1,0,11,0,
,,,,
,,,,
,0,0,0,
,0,,0,
2,2,15,15,
2,2,21,21,
7,7,0,0,22
1,1,0,0,
,0,,0,
6,0,69,0,
3,0,9,0,
6,6,0,0,
0,0,0,0,
3,1,36,0,
,,,,
2,0,0,0,
2,0,6,0,
2,2,12,12,
,0,,0,
,0,,0,
7,7,104,103,
8,0,153,2,
,,,,
5,5,33,33,
2,2,5,5,
3,0,3,0,
6,6,2,2,
,0,,0,
,,,,
,0,,0,
3,0,0,0,
17,10,0,0,
9,0,161,0,
1,1,2,0,
,0,,0,
,,,,
2,2,15,15,
3,0,17,0,
,0,,0,
,0,,0,
,0,,0,
6,6,65,64,
3,3,0,0,
8,0,37,0,
,,,,
5,5,0,0,
6,3,74,55,
0,0,0,0,
,,,,
5,5,16,16,
6,6,46,45,
6,6,40,40,
3,0,10,0,
3,3,0,0,
21,0,76,1,
7,7,4,4,
,0,,0,
1,0,2,0,
7,0,120,1,
0,0,0,0,
3,3,0,0,
10,0,66,0,
0,0,0,0,1
2,0,0,0,
13,0,185,0,
,,,,
12,0,0,0,
,0,,0,
,0,,0,
5,0,34,0,
23,0,251,0,
0,0,0,0,
12,12,72,72,
4,4,0,0,
7,0,109,0,
3,0,0,0,
2,0,0,0,
5,2,0,0,
,,,,
4,0,0,0,
,0,,0,
0,0,0,0,
3,3,0,0,
5,5,0,0,
4,4,9,9,
,,,,
,0,,0,
8,6,0,0,
3,3,0,0,
3,0,0,0,
,,,,
2,0,7,0,
2,0,4,0,
2,2,1,0,
,,,,
,,,,
2,1,10,0,
2,2,0,0,
,0,,1,
2,1,0,0,
13,0,257,0,
,,,,
,,,,
,,,,
5,5,0,0,
2,1,1,0,
3,3,1,1,
13,0,62,0,
,0,,0,
2,0,2,0,
8,0,143,0,
2,0,1,0,
,,,,
9,0,61,0,
,0,,0,
,,,,
2,2,0,0,
,,,,
,,,,
,0,0,0,
8,1,65,2,
,,,,
3,3,2,2,
22,22,307,307,
6,6,9,9,
,,,,
3,0,0,0,
2,2,6,6,
,1,,0,
3,3,2,2,
6,0,98,0,
10,0,156,0,
,0,,0,
2,2,1,1,
6,5,56,53,
6,0,108,0,
5,4,0,0,
,0,,0,
,,,,
,0,81,0,
2,0,31,0,
2,2,0,0,
2,2,0,0,
1,1,0,0,
4,4,76,76,
3,0,16,2,
8,0,110,0,
6,6,73,73,
2,2,0,0,
7,7,0,0,
5,3,31,23,
2,0,0,0,
2,0,14,0,
4,4,0,0,
,0,,0,
6,2,131,53,
2,2,12,12,
0,0,0,0,
5,2,8,0,
3,3,0,0,
2,0,0,0,
7,7,0,0,
1,0,10,7,
,0,,0,
,1,,0,
0,0,0,0,
4,0,21,0,
4,4,10,10,
,,,,
0,0,0,0,
,,,,
2,0,0,0,
7,7,0,0,
5,0,26,0,
2,0,0,0,
4,4,27,27,
,,,,
4,0,0,0,
5,0,0,0,
2,0,0,0,
2,2,0,0,
5,5,4,4,
4,4,0,0,
,,,,
4,4,0,0,
2,2,15,15,
3,0,0,0,
9,9,191,191,
3,2,0,0,1
2,2,9,9,
2,1,5,0,
,,,,
2,0,0,0,
,0,,1,
8,8,248,248,
4,0,17,0,
5,5,47,47,
2,2,0,0,
2,0,0,0,
,0,,0,
,0,,0,
6,1,0,0,
2,2,2,2,
3,3,22,22,
13,,35,,
2,2,0,0,1
,0,,0,
4,4,0,0,
,,,,
4,0,10,2,
,,,,
3,3,0,0,
10,0,108,0,
,0,,0,
8,0,37,0,
17,0,247,0,
,0,,0,
4,0,15,0,
3,0,0,0,
,,,,
,,,,
,2,,0,
2,2,0,0,
2,2,0,0,
5,0,58,0,
1,1,4,2,
,0,,0,
11,11,106,106,
2,0,0,0,
2,0,12,0,
,0,,0,
6,6,88,88,
2,2,0,0,
3,0,33,0,
2,0,26,0,
2,0,7,7,
,,,,
3,0,3,0,
5,5,93,78,
1,1,0,0,
1,1,6,6,
6,,92,,
3,3,4,4,
,,,,
,,,,
2,0,3,0,
3,0,0,0,
5,0,27,0,
2,0,3,0,
,,,,
5,5,3,3,
,0,,0,
1,1,3,1,
2,2,0,0,
,,,,
4,4,34,34,
4,0,34,0,
2,1,1,1,
,0,,0,
2,2,14,0,
,0,,0,
6,6,0,0,
,,,,
,,,,
8,8,13,13,
,0,,1,
,,,,
11,0,211,0,
2,2,11,11,
7,0,0,0,
,,,,
,0,,0,
2,0,2,0,
,0,,0,
,,,,
4,4,33,33,
0,0,0,0,
2,2,1,1,
,0,,0,
1,1,4,3,
5,0,0,0,
6,0,117,0,
5,0,0,0,
7,7,6,6,
0,0,0,0,
,,,,
4,0,44,0,
4,0,39,0,
8,0,149,0,
5,0,67,1,
1,0,1,0,
4,0,1,0,
6,0,15,0,
3,3,18,18,
2,2,0,0,
,,,,
4,4,0,0,
17,0,252,0,
,0,,0,
,,,,
5,0,18,0,
2,2,0,0,
4,1,12,0,
6,6,3,3,
2,1,0,0,
3,3,4,4,
0,0,0,0,
4,0,0,0,
1,0,0,0,
2,0,2,0,
,,,,
0,0,0,0,
5,5,21,18,
2,2,5,5,
3,3,46,41,
,0,,0,
,0,,0,
,0,,0,
,,,,
3,3,0,0,
0,0,0,0,
2,0,13,0,
,,,,
4,0,44,0,
4,4,38,38,
1,1,4,4,
3,3,2,2,
3,3,0,0,
14,14,5,5,
,,,,
2,0,1,0,
,0,,0,
4,3,2,2,
2,0,4,0,
11,11,0,0,
6,0,53,1,
3,0,0,0,
1,0,2,1,
2,0,30,0,
0,0,0,0,
5,0,95,0,
,0,,14,
7,7,0,0,
,,,,
6,0,50,0,
3,0,,0,
,,,,
2,0,8,0,
1,0,0,0,
,,,,
2,1,7,2,
4,0,0,0,
,0,124,0,
,,,,
,,,,
3,3,1,0,
1,1,0,0,
7,0,114,4,
8,2,86,52,
,0,68,0,
,,,,
,0,,0,
,0,,0,
3,3,5,5,
,,,,
2,0,7,0,
1,1,1,1,
4,4,0,0,
19,1,71,50,5
,0,,0,
1,1,0,0,
3,3,0,0,
3,0,17,0,
1,0,0,0,
,0,175,0,
2,0,2,0,
3,3,2,2,
,,,,
6,0,89,0,
4,4,0,0,
4,4,0,0,
,,,,
,0,,0,
11,0,185,0,
5,4,49,9,
4,4,0,0,
2,2,0,0,
5,0,76,0,
6,0,102,0,
2,2,1,1,
3,3,10,10,
4,0,47,0,
4,0,24,0,
6,6,46,46,
3,3,57,57,
2,0,0,0,
,,,,
2,2,2,2,
7,0,0,0,
10,9,120,117,
2,2,18,18,
6,0,58,0,
,0,,0,
2,2,11,11,
7,4,87,66,
,,,,
,0,,4,
,0,,0,
2,1,0,0,
7,0,37,6,
1,1,1,0,
,,,,
0,0,0,0,
5,3,50,0,
